Campus,Location,Student Path,Entry Status,HEGIS at Exit,Major at Exit,NAICS,Industry of Employment,# of Students Found 5 Years After Exit,Median Annual Earnings 5 Years After Exit,Average Annual Earnings 5 Years After Exit
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,54,"Professional, Scientific, & Technical Skills",,,
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,61,Educational Services,9,"$102,907","$105,963"
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,62,Health Care & Social Assistance,32,"$117,778","$111,853"
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,92,Government,10,"$109,738","$111,553"
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,,Wages - No NAICS Code,,,
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,44-45,Retail Trade,,,
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,53,Real Estate & Rental & Leasing,,,
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,61,Educational Services,,,
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,62,Health Care & Social Assistance,,,
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,81,Other Services,,,
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,,Wages - No NAICS Code,,,
70,Northridge,1,FTF + FTT,4011,Biology,11,"Agriculture, Forestry, Fishing, & Hunting",,,
70,Northridge,1,FTF + FTT,4011,Biology,21,Mining,,,
70,Northridge,1,FTF + FTT,4011,Biology,22,Utilities,,,
70,Northridge,1,FTF + FTT,4011,Biology,23,Construction,6,"$26,802","$38,392"
70,Northridge,1,FTF + FTT,4011,Biology,31-33,Manufacturing,76,"$58,025","$62,960"
70,Northridge,1,FTF + FTT,4011,Biology,42,Wholesale Trade,21,"$61,011","$68,762"
70,Northridge,1,FTF + FTT,4011,Biology,44-45,Retail Trade,81,"$27,313","$37,308"
70,Northridge,1,FTF + FTT,4011,Biology,48-49,Transportation & Warehousing,5,"$35,868","$43,757"
70,Northridge,1,FTF + FTT,4011,Biology,51,Information,8,"$38,605","$51,936"
70,Northridge,1,FTF + FTT,4011,Biology,52,Finance & Insurance,24,"$53,994","$54,717"
70,Northridge,1,FTF + FTT,4011,Biology,53,Real Estate & Rental & Leasing,,,
70,Northridge,1,FTF + FTT,4011,Biology,54,"Professional, Scientific, & Technical Skills",40,"$43,109","$45,307"
70,Northridge,1,FTF + FTT,4011,Biology,55,Management of Companies & Enterprises,,,
70,Northridge,1,FTF + FTT,4011,Biology,56,Admin & Support & Waste Mgmt & Remediation,25,"$42,249","$51,377"
70,Northridge,1,FTF + FTT,4011,Biology,61,Educational Services,65,"$51,722","$48,212"
70,Northridge,1,FTF + FTT,4011,Biology,62,Health Care & Social Assistance,152,"$41,804","$46,095"
70,Northridge,1,FTF + FTT,4011,Biology,71,"Arts, Entertainment, & Recreation",,,
70,Northridge,1,FTF + FTT,4011,Biology,72,Accommodation & Food Services,12,"$16,758","$20,624"
70,Northridge,1,FTF + FTT,4011,Biology,81,Other Services,11,"$39,181","$34,640"
70,Northridge,1,FTF + FTT,4011,Biology,99,Non-Classified,5,"$44,828","$47,664"
70,Northridge,1,FTF + FTT,4011,Biology,92,Government,28,"$57,879","$55,254"
70,Northridge,1,FTF + FTT,4011,Biology,,Wages - No NAICS Code,39,"$5,438","$11,390"
70,Northridge,1,FTF + FTT,4111,Microbiology,22,Utilities,,,
70,Northridge,1,FTF + FTT,4111,Microbiology,31-33,Manufacturing,20,"$73,925","$72,007"
70,Northridge,1,FTF + FTT,4111,Microbiology,44-45,Retail Trade,,,
70,Northridge,1,FTF + FTT,4111,Microbiology,48-49,Transportation & Warehousing,,,
70,Northridge,1,FTF + FTT,4111,Microbiology,51,Information,,,
70,Northridge,1,FTF + FTT,4111,Microbiology,52,Finance & Insurance,,,
70,Northridge,1,FTF + FTT,4111,Microbiology,54,"Professional, Scientific, & Technical Skills",6,"$57,443","$53,031"
70,Northridge,1,FTF + FTT,4111,Microbiology,55,Management of Companies & Enterprises,,,
70,Northridge,1,FTF + FTT,4111,Microbiology,56,Admin & Support & Waste Mgmt & Remediation,,,
70,Northridge,1,FTF + FTT,4111,Microbiology,62,Health Care & Social Assistance,8,"$47,154","$50,047"
70,Northridge,1,FTF + FTT,4111,Microbiology,71,"Arts, Entertainment, & Recreation",,,
70,Northridge,1,FTF + FTT,4111,Microbiology,81,Other Services,,,
70,Northridge,1,FTF + FTT,4111,Microbiology,92,Government,6,"$66,158","$63,351"
70,Northridge,1,FTF + FTT,4141,Biochemistry,23,Construction,,,
70,Northridge,1,FTF + FTT,4141,Biochemistry,31-33,Manufacturing,16,"$58,125","$60,832"
70,Northridge,1,FTF + FTT,4141,Biochemistry,42,Wholesale Trade,,,
70,Northridge,1,FTF + FTT,4141,Biochemistry,44-45,Retail Trade,,,
70,Northridge,1,FTF + FTT,4141,Biochemistry,52,Finance & Insurance,,,
70,Northridge,1,FTF + FTT,4141,Biochemistry,54,"Professional, Scientific, & Technical Skills",6,"$45,594","$44,809"
70,Northridge,1,FTF + FTT,4141,Biochemistry,56,Admin & Support & Waste Mgmt & Remediation,5,"$30,083","$42,281"
70,Northridge,1,FTF + FTT,4141,Biochemistry,61,Educational Services,9,"$43,371","$33,659"
70,Northridge,1,FTF + FTT,4141,Biochemistry,62,Health Care & Social Assistance,13,"$46,340","$48,439"
70,Northridge,1,FTF + FTT,4141,Biochemistry,72,Accommodation & Food Services,,,
70,Northridge,1,FTF + FTT,4141,Biochemistry,81,Other Services,,,
70,Northridge,1,FTF + FTT,4141,Biochemistry,92,Government,,,
70,Northridge,1,FTF + FTT,4141,Biochemistry,,Wages - No NAICS Code,,,
70,Northridge,1,FTF + FTT,4152,Biomedical Physics,11,"Agriculture, Forestry, Fishing, & Hunting",,,
70,Northridge,1,FTF + FTT,4152,Biomedical Physics,31-33,Manufacturing,,,
70,Northridge,1,FTF + FTT,4152,Biomedical Physics,48-49,Transportation & Warehousing,,,
70,Northridge,1,FTF + FTT,4152,Biomedical Physics,52,Finance & Insurance,,,
70,Northridge,1,FTF + FTT,4152,Biomedical Physics,62,Health Care & Social Assistance,,,
70,Northridge,1,FTF + FTT,4152,Biomedical Physics,92,Government,,,
70,Northridge,1,FTF + FTT,4152,Biomedical Physics,,Wages - No NAICS Code,,,
70,Northridge,1,FTF + FTT,4171,Cell and Molecular Biology,31-33,Manufacturing,24,"$60,365","$60,855"
70,Northridge,1,FTF + FTT,4171,Cell and Molecular Biology,42,Wholesale Trade,,,
70,Northridge,1,FTF + FTT,4171,Cell and Molecular Biology,44-45,Retail Trade,5,"$19,106","$24,372"
70,Northridge,1,FTF + FTT,4171,Cell and Molecular Biology,52,Finance & Insurance,,,
70,Northridge,1,FTF + FTT,4171,Cell and Molecular Biology,54,"Professional, Scientific, & Technical Skills",7,"$55,567","$53,519"
70,Northridge,1,FTF + FTT,4171,Cell and Molecular Biology,56,Admin & Support & Waste Mgmt & Remediation,,,
70,Northridge,1,FTF + FTT,4171,Cell and Molecular Biology,61,Educational Services,8,"$50,192","$40,553"
70,Northridge,1,FTF + FTT,4171,Cell and Molecular Biology,62,Health Care & Social Assistance,20,"$48,565","$48,446"
70,Northridge,1,FTF + FTT,4171,Cell and Molecular Biology,71,"Arts, Entertainment, & Recreation",,,
70,Northridge,1,FTF + FTT,4171,Cell and Molecular Biology,72,Accommodation & Food Services,,,
70,Northridge,1,FTF + FTT,4171,Cell and Molecular Biology,81,Other Services,,,
70,Northridge,1,FTF + FTT,4171,Cell and Molecular Biology,92,Government,6,"$52,536","$59,240"
70,Northridge,1,FTF + FTT,4171,Cell and Molecular Biology,,Wages - No NAICS Code,6,"$4,343","$14,681"
70,Northridge,1,FTF + FTT,4201,Environmental Biology & Ecology,31-33,Manufacturing,,,
70,Northridge,1,FTF + FTT,4201,Environmental Biology & Ecology,44-45,Retail Trade,,,
70,Northridge,1,FTF + FTT,4201,Environmental Biology & Ecology,52,Finance & Insurance,,,
70,Northridge,1,FTF + FTT,4201,Environmental Biology & Ecology,54,"Professional, Scientific, & Technical Skills",13,"$38,316","$43,226"
70,Northridge,1,FTF + FTT,4201,Environmental Biology & Ecology,61,Educational Services,7,"$51,740","$46,333"
70,Northridge,1,FTF + FTT,4201,Environmental Biology & Ecology,71,"Arts, Entertainment, & Recreation",,,
70,Northridge,1,FTF + FTT,4201,Environmental Biology & Ecology,72,Accommodation & Food Services,,,
70,Northridge,1,FTF + FTT,4201,Environmental Biology & Ecology,81,Other Services,,,
70,Northridge,1,FTF + FTT,4201,Environmental Biology & Ecology,92,Government,,,
70,Northridge,1,FTF + FTT,4201,Environmental Biology & Ecology,,Wages - No NAICS Code,5,"$2,256","$6,853"
70,Northridge,1,FTF + FTT,5011,Business Administration,22,Utilities,,,
70,Northridge,1,FTF + FTT,5011,Business Administration,23,Construction,15,"$65,328","$58,876"
70,Northridge,1,FTF + FTT,5011,Business Administration,31-33,Manufacturing,27,"$58,597","$58,778"
70,Northridge,1,FTF + FTT,5011,Business Administration,42,Wholesale Trade,22,"$48,258","$52,231"
70,Northridge,1,FTF + FTT,5011,Business Administration,44-45,Retail Trade,38,"$50,987","$52,094"
70,Northridge,1,FTF + FTT,5011,Business Administration,48-49,Transportation & Warehousing,,,
70,Northridge,1,FTF + FTT,5011,Business Administration,51,Information,30,"$65,310","$61,782"
70,Northridge,1,FTF + FTT,5011,Business Administration,52,Finance & Insurance,106,"$60,990","$60,404"
70,Northridge,1,FTF + FTT,5011,Business Administration,53,Real Estate & Rental & Leasing,15,"$51,568","$54,770"
70,Northridge,1,FTF + FTT,5011,Business Administration,54,"Professional, Scientific, & Technical Skills",105,"$46,042","$45,602"
70,Northridge,1,FTF + FTT,5011,Business Administration,55,Management of Companies & Enterprises,,,
70,Northridge,1,FTF + FTT,5011,Business Administration,56,Admin & Support & Waste Mgmt & Remediation,29,"$40,167","$40,769"
70,Northridge,1,FTF + FTT,5011,Business Administration,61,Educational Services,24,"$40,224","$38,176"
70,Northridge,1,FTF + FTT,5011,Business Administration,62,Health Care & Social Assistance,18,"$43,546","$49,468"
70,Northridge,1,FTF + FTT,5011,Business Administration,71,"Arts, Entertainment, & Recreation",11,"$45,338","$44,566"
70,Northridge,1,FTF + FTT,5011,Business Administration,72,Accommodation & Food Services,14,"$26,554","$32,017"
70,Northridge,1,FTF + FTT,5011,Business Administration,81,Other Services,10,"$48,369","$54,277"
70,Northridge,1,FTF + FTT,5011,Business Administration,99,Non-Classified,,,
70,Northridge,1,FTF + FTT,5011,Business Administration,92,Government,35,"$56,308","$58,271"
70,Northridge,1,FTF + FTT,5011,Business Administration,,Wages - No NAICS Code,37,"$8,643","$19,778"
70,Northridge,1,FTF + FTT,5012,Business Education,53,Real Estate & Rental & Leasing,,,
70,Northridge,1,FTF + FTT,5012,Business Education,54,"Professional, Scientific, & Technical Skills",,,
70,Northridge,1,FTF + FTT,5012,Business Education,61,Educational Services,,,
70,Northridge,1,FTF + FTT,5021,Accounting,11,"Agriculture, Forestry, Fishing, & Hunting",6,"$45,313","$39,453"
70,Northridge,1,FTF + FTT,5021,Accounting,21,Mining,,,
70,Northridge,1,FTF + FTT,5021,Accounting,22,Utilities,7,"$101,415","$99,568"
70,Northridge,1,FTF + FTT,5021,Accounting,23,Construction,18,"$71,184","$64,448"
70,Northridge,1,FTF + FTT,5021,Accounting,31-33,Manufacturing,58,"$64,325","$62,469"
70,Northridge,1,FTF + FTT,5021,Accounting,42,Wholesale Trade,40,"$51,746","$53,198"
70,Northridge,1,FTF + FTT,5021,Accounting,44-45,Retail Trade,47,"$50,401","$53,664"
70,Northridge,1,FTF + FTT,5021,Accounting,48-49,Transportation & Warehousing,15,"$73,398","$62,164"
70,Northridge,1,FTF + FTT,5021,Accounting,51,Information,87,"$69,891","$67,777"
70,Northridge,1,FTF + FTT,5021,Accounting,52,Finance & Insurance,168,"$71,273","$71,888"
70,Northridge,1,FTF + FTT,5021,Accounting,53,Real Estate & Rental & Leasing,55,"$64,247","$67,969"
70,Northridge,1,FTF + FTT,5021,Accounting,54,"Professional, Scientific, & Technical Skills",589,"$73,073","$70,860"
70,Northridge,1,FTF + FTT,5021,Accounting,55,Management of Companies & Enterprises,9,"$61,578","$63,266"
70,Northridge,1,FTF + FTT,5021,Accounting,56,Admin & Support & Waste Mgmt & Remediation,87,"$56,906","$55,275"
70,Northridge,1,FTF + FTT,5021,Accounting,61,Educational Services,35,"$55,619","$58,156"
70,Northridge,1,FTF + FTT,5021,Accounting,62,Health Care & Social Assistance,48,"$45,465","$49,758"
70,Northridge,1,FTF + FTT,5021,Accounting,71,"Arts, Entertainment, & Recreation",11,"$46,897","$69,724"
70,Northridge,1,FTF + FTT,5021,Accounting,72,Accommodation & Food Services,18,"$37,452","$34,202"
70,Northridge,1,FTF + FTT,5021,Accounting,81,Other Services,22,"$59,447","$55,489"
70,Northridge,1,FTF + FTT,5021,Accounting,99,Non-Classified,,,
70,Northridge,1,FTF + FTT,5021,Accounting,92,Government,72,"$67,599","$71,517"
70,Northridge,1,FTF + FTT,5021,Accounting,,Wages - No NAICS Code,75,"$61,763","$59,337"
70,Northridge,1,FTF + FTT,5041,Finance,11,"Agriculture, Forestry, Fishing, & Hunting",8,"$33,299","$32,992"
70,Northridge,1,FTF + FTT,5041,Finance,22,Utilities,7,"$84,927","$86,547"
70,Northridge,1,FTF + FTT,5041,Finance,23,Construction,38,"$46,436","$49,928"
70,Northridge,1,FTF + FTT,5041,Finance,31-33,Manufacturing,120,"$70,122","$74,142"
70,Northridge,1,FTF + FTT,5041,Finance,42,Wholesale Trade,94,"$50,744","$61,342"
70,Northridge,1,FTF + FTT,5041,Finance,44-45,Retail Trade,116,"$48,990","$53,519"
70,Northridge,1,FTF + FTT,5041,Finance,48-49,Transportation & Warehousing,41,"$53,072","$53,150"
70,Northridge,1,FTF + FTT,5041,Finance,51,Information,187,"$67,361","$68,723"
70,Northridge,1,FTF + FTT,5041,Finance,52,Finance & Insurance,748,"$63,569","$72,355"
70,Northridge,1,FTF + FTT,5041,Finance,53,Real Estate & Rental & Leasing,109,"$56,928","$60,032"
70,Northridge,1,FTF + FTT,5041,Finance,54,"Professional, Scientific, & Technical Skills",275,"$57,965","$60,323"
70,Northridge,1,FTF + FTT,5041,Finance,55,Management of Companies & Enterprises,13,"$71,139","$94,241"
70,Northridge,1,FTF + FTT,5041,Finance,56,Admin & Support & Waste Mgmt & Remediation,140,"$44,992","$48,423"
70,Northridge,1,FTF + FTT,5041,Finance,61,Educational Services,65,"$49,639","$53,980"
70,Northridge,1,FTF + FTT,5041,Finance,62,Health Care & Social Assistance,128,"$35,344","$43,224"
70,Northridge,1,FTF + FTT,5041,Finance,71,"Arts, Entertainment, & Recreation",30,"$48,502","$47,633"
70,Northridge,1,FTF + FTT,5041,Finance,72,Accommodation & Food Services,40,"$39,063","$41,510"
70,Northridge,1,FTF + FTT,5041,Finance,81,Other Services,43,"$47,270","$47,614"
70,Northridge,1,FTF + FTT,5041,Finance,99,Non-Classified,6,"$57,113","$50,576"
70,Northridge,1,FTF + FTT,5041,Finance,92,Government,88,"$60,288","$62,782"
70,Northridge,1,FTF + FTT,5041,Finance,,Wages - No NAICS Code,100,"$10,689","$24,500"
70,Northridge,1,FTF + FTT,5061,Management,11,"Agriculture, Forestry, Fishing, & Hunting",10,"$45,735","$44,198"
70,Northridge,1,FTF + FTT,5061,Management,21,Mining,,,
70,Northridge,1,FTF + FTT,5061,Management,22,Utilities,9,"$91,916","$87,745"
70,Northridge,1,FTF + FTT,5061,Management,23,Construction,37,"$48,723","$54,721"
70,Northridge,1,FTF + FTT,5061,Management,31-33,Manufacturing,96,"$61,428","$68,255"
70,Northridge,1,FTF + FTT,5061,Management,42,Wholesale Trade,84,"$55,736","$69,712"
70,Northridge,1,FTF + FTT,5061,Management,44-45,Retail Trade,157,"$52,063","$54,020"
70,Northridge,1,FTF + FTT,5061,Management,48-49,Transportation & Warehousing,23,"$47,868","$53,543"
70,Northridge,1,FTF + FTT,5061,Management,51,Information,106,"$56,928","$60,983"
70,Northridge,1,FTF + FTT,5061,Management,52,Finance & Insurance,337,"$58,011","$64,728"
70,Northridge,1,FTF + FTT,5061,Management,53,Real Estate & Rental & Leasing,95,"$53,345","$55,464"
70,Northridge,1,FTF + FTT,5061,Management,54,"Professional, Scientific, & Technical Skills",145,"$54,171","$64,097"
70,Northridge,1,FTF + FTT,5061,Management,55,Management of Companies & Enterprises,10,"$52,541","$50,094"
70,Northridge,1,FTF + FTT,5061,Management,56,Admin & Support & Waste Mgmt & Remediation,102,"$50,794","$54,859"
70,Northridge,1,FTF + FTT,5061,Management,61,Educational Services,54,"$43,301","$40,954"
70,Northridge,1,FTF + FTT,5061,Management,62,Health Care & Social Assistance,104,"$40,678","$45,770"
70,Northridge,1,FTF + FTT,5061,Management,71,"Arts, Entertainment, & Recreation",31,"$35,750","$35,550"
70,Northridge,1,FTF + FTT,5061,Management,72,Accommodation & Food Services,76,"$50,107","$50,276"
70,Northridge,1,FTF + FTT,5061,Management,81,Other Services,34,"$49,136","$47,110"
70,Northridge,1,FTF + FTT,5061,Management,99,Non-Classified,7,"$12,707","$30,926"
70,Northridge,1,FTF + FTT,5061,Management,92,Government,67,"$62,186","$63,778"
70,Northridge,1,FTF + FTT,5061,Management,,Wages - No NAICS Code,64,"$10,090","$22,634"
70,Northridge,1,FTF + FTT,5062,Management,42,Wholesale Trade,,,
70,Northridge,1,FTF + FTT,5062,Management,51,Information,,,
70,Northridge,1,FTF + FTT,5062,Management,54,"Professional, Scientific, & Technical Skills",,,
70,Northridge,1,FTF + FTT,5064,Production and Operations Management,31-33,Manufacturing,,,
70,Northridge,1,FTF + FTT,5064,Production and Operations Management,42,Wholesale Trade,,,
70,Northridge,1,FTF + FTT,5064,Production and Operations Management,51,Information,,,
70,Northridge,1,FTF + FTT,5064,Production and Operations Management,52,Finance & Insurance,,,
70,Northridge,1,FTF + FTT,5072,Management Systems Analysis / Operations Research,11,"Agriculture, Forestry, Fishing, & Hunting",,,
70,Northridge,1,FTF + FTT,5072,Management Systems Analysis / Operations Research,21,Mining,,,
