Campus,Location,Student Path,Entry Stat,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year
10,Pomona,1,FTF + FTT,"38,804","34,944","$14,931","$28,544","$45,122","$31,933","29,821",1
10,Pomona,1,FTF + FTT,"38,804","31,017","$22,138","$39,266","$56,400","$40,960","26,224",2
10,Pomona,1,FTF + FTT,"38,804","27,428","$27,113","$44,784","$62,595","$46,359","22,710",3
10,Pomona,1,FTF + FTT,"38,804","24,055","$30,759","$49,294","$68,406","$51,151","19,535",4
10,Pomona,1,FTF + FTT,"38,804","21,011","$33,892","$53,057","$73,897","$55,298","16,766",5
10,Pomona,1,FTF + FTT,"38,804","18,106","$35,742","$56,504","$78,905","$58,951","14,170",6
10,Pomona,1,FTF + FTT,"38,804","15,634","$38,284","$60,158","$84,315","$63,049","11,910",7
10,Pomona,1,FTF + FTT,"38,804","13,585","$40,722","$63,214","$88,788","$66,700","10,196",8
10,Pomona,1,FTF + FTT,"38,804","11,548","$42,753","$66,171","$92,236","$69,822","8,529",9
10,Pomona,1,FTF + FTT,"38,804","9,617","$44,433","$69,461","$96,134","$73,429","7,013",10
10,Pomona,1,FTF + FTT,"38,804","8,035","$45,926","$72,318","$100,085","$76,514","5,833",11
10,Pomona,1,FTF + FTT,"38,804","6,878","$47,493","$74,513","$103,260","$78,860","4,926",12
10,Pomona,1,FTF + FTT,"38,804","5,231","$49,493","$78,065","$106,824","$82,850","3,694",13
10,Pomona,1,FTF + FTT,"38,804","3,749","$50,495","$81,291","$109,201","$85,253","2,608",14
10,Pomona,1,FTF + FTT,"38,804","2,423","$53,095","$84,753","$113,339","$89,447","1,667",15
10,Pomona,1,FTF,"19,150","16,830","$14,012","$26,948","$42,996","$30,400","14,496",1
10,Pomona,1,FTF,"19,150","14,717","$21,726","$38,288","$55,111","$39,946","12,655",2
10,Pomona,1,FTF,"19,150","12,831","$26,891","$43,984","$61,374","$45,500","10,904",3
10,Pomona,1,FTF,"19,150","11,075","$31,262","$48,716","$67,737","$50,647","9,244",4
10,Pomona,1,FTF,"19,150","9,394","$34,331","$52,366","$73,539","$54,920","7,753",5
10,Pomona,1,FTF,"19,150","7,913","$36,206","$56,064","$78,524","$59,020","6,417",6
10,Pomona,1,FTF,"19,150","6,704","$38,808","$60,069","$84,595","$63,571","5,308",7
10,Pomona,1,FTF,"19,150","5,699","$41,497","$63,424","$89,642","$67,679","4,426",8
10,Pomona,1,FTF,"19,150","4,696","$43,528","$66,329","$92,818","$70,926","3,603",9
10,Pomona,1,FTF,"19,150","3,742","$46,433","$70,416","$98,507","$76,309","2,856",10
10,Pomona,1,FTF,"19,150","2,952","$48,640","$73,685","$102,825","$79,756","2,243",11
10,Pomona,1,FTF,"19,150","2,350","$50,217","$77,173","$106,404","$82,821","1,773",12
10,Pomona,1,FTF,"19,150","1,532","$54,605","$82,951","$112,081","$90,170","1,138",13
10,Pomona,1,FTF,"19,150",865,"$54,093","$84,940","$115,349","$93,334",626,14
10,Pomona,1,FTF,"19,150",347,"$55,954","$88,786","$120,678","$98,080",249,15
10,Pomona,1,FTT,"19,654","18,114","$15,788","$30,066","$47,008","$33,383","15,325",1
10,Pomona,1,FTT,"19,654","16,300","$22,472","$40,382","$57,394","$41,906","13,569",2
10,Pomona,1,FTT,"19,654","14,597","$27,285","$45,549","$63,444","$47,152","11,806",3
10,Pomona,1,FTT,"19,654","12,980","$30,099","$49,882","$69,061","$51,605","10,291",4
10,Pomona,1,FTT,"19,654","11,617","$33,418","$53,691","$74,160","$55,624","9,013",5
10,Pomona,1,FTT,"19,654","10,193","$35,381","$56,860","$79,215","$58,895","7,753",6
10,Pomona,1,FTT,"19,654","8,930","$37,852","$60,197","$83,896","$62,630","6,602",7
10,Pomona,1,FTT,"19,654","7,886","$40,190","$63,057","$88,147","$65,949","5,770",8
10,Pomona,1,FTT,"19,654","6,852","$41,977","$66,141","$92,002","$69,014","4,926",9
10,Pomona,1,FTT,"19,654","5,875","$43,072","$68,915","$95,107","$71,450","4,157",10
10,Pomona,1,FTT,"19,654","5,083","$43,945","$71,244","$98,248","$74,488","3,590",11
10,Pomona,1,FTT,"19,654","4,528","$45,292","$73,207","$101,775","$76,632","3,153",12
10,Pomona,1,FTT,"19,654","3,699","$47,274","$76,514","$104,497","$79,591","2,556",13
10,Pomona,1,FTT,"19,654","2,884","$49,250","$79,543","$107,355","$82,701","1,982",14
10,Pomona,1,FTT,"19,654","2,076","$52,832","$84,148","$111,469","$87,931","1,418",15
10,Pomona,2,FTF + FTT,"16,184","15,697","$6,977","$14,853","$26,867","$20,230","12,232",1
10,Pomona,2,FTF + FTT,"16,184","14,987","$9,176","$19,084","$33,203","$24,577","11,421",2
10,Pomona,2,FTF + FTT,"16,184","13,956","$11,154","$22,678","$38,134","$28,064","10,522",3
10,Pomona,2,FTF + FTT,"16,184","12,897","$13,086","$25,847","$42,715","$31,253","9,672",4
10,Pomona,2,FTF + FTT,"16,184","11,831","$15,091","$29,291","$47,316","$34,890","8,710",5
10,Pomona,2,FTF + FTT,"16,184","10,996","$16,885","$32,344","$51,251","$37,671","8,008",6
10,Pomona,2,FTF + FTT,"16,184","10,116","$18,936","$35,369","$54,611","$40,583","7,308",7
10,Pomona,2,FTF + FTT,"16,184","9,111","$20,842","$38,588","$58,886","$43,649","6,458",8
10,Pomona,2,FTF + FTT,"16,184","8,004","$22,447","$40,870","$62,460","$46,402","5,570",9
10,Pomona,2,FTF + FTT,"16,184","6,954","$24,350","$43,524","$65,189","$48,947","4,730",10
10,Pomona,2,FTF + FTT,"16,184","6,037","$25,679","$45,813","$68,956","$51,523","4,028",11
10,Pomona,2,FTF + FTT,"16,184","5,206","$27,304","$47,072","$72,431","$53,923","3,399",12
10,Pomona,2,FTF + FTT,"16,184","4,319","$26,363","$47,921","$74,393","$54,757","2,801",13
10,Pomona,2,FTF + FTT,"16,184","3,489","$26,782","$49,637","$78,049","$57,520","2,217",14
10,Pomona,2,FTF + FTT,"16,184","2,620","$27,364","$50,931","$80,576","$58,143","1,641",15
10,Pomona,2,FTF,"10,531","10,194","$5,732","$12,332","$20,771","$15,706","7,956",1
10,Pomona,2,FTF,"10,531","9,734","$7,768","$15,947","$26,197","$19,710","7,469",2
10,Pomona,2,FTF,"10,531","9,052","$9,707","$19,258","$31,607","$23,291","6,940",3
10,Pomona,2,FTF,"10,531","8,359","$11,173","$22,180","$36,205","$26,541","6,402",4
10,Pomona,2,FTF,"10,531","7,668","$13,379","$25,781","$41,501","$30,278","5,783",5
10,Pomona,2,FTF,"10,531","7,131","$15,021","$28,721","$45,140","$33,212","5,322",6
10,Pomona,2,FTF,"10,531","6,541","$17,185","$32,133","$48,752","$36,195","4,904",7
10,Pomona,2,FTF,"10,531","5,860","$19,415","$35,341","$52,970","$39,496","4,326",8
10,Pomona,2,FTF,"10,531","5,103","$20,534","$37,394","$56,723","$42,245","3,716",9
10,Pomona,2,FTF,"10,531","4,361","$22,897","$40,512","$59,910","$45,035","3,106",10
10,Pomona,2,FTF,"10,531","3,719","$25,044","$43,235","$64,643","$47,889","2,593",11
10,Pomona,2,FTF,"10,531","3,188","$25,821","$44,383","$67,655","$50,090","2,190",12
10,Pomona,2,FTF,"10,531","2,610","$25,010","$45,123","$69,005","$51,431","1,802",13
10,Pomona,2,FTF,"10,531","2,043","$26,292","$47,252","$73,373","$54,852","1,375",14
10,Pomona,2,FTF,"10,531","1,493","$26,988","$48,861","$77,186","$56,690",982,15
10,Pomona,2,FTT,"5,653","5,503","$11,049","$23,211","$39,131","$28,646","4,276",1
10,Pomona,2,FTT,"5,653","5,253","$14,125","$28,520","$46,306","$33,775","3,952",2
10,Pomona,2,FTT,"5,653","4,904","$16,470","$32,196","$51,252","$37,311","3,582",3
10,Pomona,2,FTT,"5,653","4,538","$18,755","$36,298","$56,374","$40,478","3,270",4
10,Pomona,2,FTT,"5,653","4,163","$20,832","$38,391","$59,490","$44,003","2,927",5
10,Pomona,2,FTT,"5,653","3,865","$23,087","$41,068","$62,878","$46,505","2,686",6
10,Pomona,2,FTT,"5,653","3,575","$24,280","$44,267","$66,170","$49,532","2,404",7
10,Pomona,2,FTT,"5,653","3,251","$25,539","$47,002","$70,265","$52,077","2,132",8
10,Pomona,2,FTT,"5,653","2,901","$26,975","$49,419","$74,000","$54,735","1,854",9
10,Pomona,2,FTT,"5,653","2,593","$27,218","$50,891","$74,569","$56,428","1,624",10
10,Pomona,2,FTT,"5,653","2,318","$27,328","$51,768","$77,279","$58,089","1,435",11
10,Pomona,2,FTT,"5,653","2,018","$29,811","$54,946","$80,743","$60,867","1,209",12
10,Pomona,2,FTT,"5,653","1,709","$29,664","$54,606","$83,594","$60,758",999,13
10,Pomona,2,FTT,"5,653","1,446","$28,153","$56,847","$84,923","$61,877",842,14
10,Pomona,2,FTT,"5,653","1,127","$29,857","$56,587","$84,288","$60,308",659,15
10,Pomona,3,FTF + FTT,"4,864","4,453","$15,256","$30,551","$49,139","$35,290","3,432",1
10,Pomona,3,FTF + FTT,"4,864","4,031","$22,531","$40,450","$59,275","$43,323","3,119",2
10,Pomona,3,FTF + FTT,"4,864","3,605","$24,991","$44,932","$64,347","$47,477","2,751",3
10,Pomona,3,FTF + FTT,"4,864","3,172","$27,478","$47,447","$67,610","$50,244","2,365",4
10,Pomona,3,FTF + FTT,"4,864","2,726","$31,077","$52,266","$74,308","$55,311","2,001",5
10,Pomona,3,FTF + FTT,"4,864","2,367","$34,492","$56,627","$78,466","$59,474","1,681",6
10,Pomona,3,FTF + FTT,"4,864","2,027","$35,108","$60,755","$85,015","$62,736","1,433",7
10,Pomona,3,FTF + FTT,"4,864","1,723","$37,246","$62,714","$88,885","$66,426","1,200",8
10,Pomona,3,FTF + FTT,"4,864","1,426","$40,378","$66,284","$93,462","$69,858",982,9
10,Pomona,3,FTF + FTT,"4,864","1,127","$42,211","$69,048","$97,557","$73,195",761,10
10,Pomona,3,FTF + FTT,"4,864",880,"$39,169","$70,948","$98,808","$73,987",598,11
10,Pomona,3,FTF + FTT,"4,864",639,"$44,034","$72,314","$103,995","$80,472",429,12
10,Pomona,3,FTF + FTT,"4,864",440,"$48,542","$77,006","$106,301","$85,667",295,13
10,Pomona,3,FTF + FTT,"4,864",269,"$45,404","$73,097","$101,597","$87,400",172,14
10,Pomona,3,FTF + FTT,"4,864",144,"$41,317","$78,558","$106,288","$89,266",92,15
10,Pomona,3,FTF,"3,059","2,788","$14,189","$28,804","$45,858","$32,819","2,154",1
10,Pomona,3,FTF,"3,059","2,505","$22,670","$39,232","$57,044","$41,758","1,944",2
10,Pomona,3,FTF,"3,059","2,208","$24,834","$43,916","$63,005","$46,172","1,697",3
10,Pomona,3,FTF,"3,059","1,901","$26,612","$46,379","$65,565","$48,587","1,439",4
10,Pomona,3,FTF,"3,059","1,608","$30,414","$51,678","$72,766","$53,698","1,204",5
10,Pomona,3,FTF,"3,059","1,374","$34,719","$56,728","$77,417","$58,962",989,6
10,Pomona,3,FTF,"3,059","1,153","$36,159","$60,147","$83,227","$62,107",825,7
10,Pomona,3,FTF,"3,059",962,"$37,362","$62,094","$88,049","$65,459",683,8
10,Pomona,3,FTF,"3,059",782,"$38,280","$65,185","$92,195","$67,814",549,9
10,Pomona,3,FTF,"3,059",599,"$43,764","$69,169","$98,353","$74,097",415,10
10,Pomona,3,FTF,"3,059",441,"$37,728","$72,314","$99,795","$74,842",313,11
10,Pomona,3,FTF,"3,059",294,"$47,007","$76,095","$104,871","$85,956",200,12
10,Pomona,3,FTF,"3,059",169,"$62,006","$81,870","$112,608","$98,659",112,13
10,Pomona,3,FTF,"3,059",75,"$59,058","$81,545","$116,052","$131,866",43,14
10,Pomona,3,FTF,"3,059",28,"$74,075","$83,963","$185,664","$135,075",16,15
10,Pomona,3,FTT,"1,805","1,665","$17,393","$34,211","$53,605","$39,455","1,278",1
10,Pomona,3,FTT,"1,805","1,526","$22,521","$42,882","$62,845","$45,912","1,175",2
10,Pomona,3,FTT,"1,805","1,397","$25,147","$46,524","$67,893","$49,580","1,054",3
10,Pomona,3,FTT,"1,805","1,271","$28,895","$48,469","$71,521","$52,819",926,4
10,Pomona,3,FTT,"1,805","1,118","$32,353","$53,388","$76,872","$57,747",797,5
10,Pomona,3,FTT,"1,805",993,"$33,863","$56,444","$80,471","$60,206",692,6
10,Pomona,3,FTT,"1,805",874,"$33,794","$61,045","$86,156","$63,590",608,7
