Campus,Location,Student Path,Entry Stat,HEGIS At Exit,Major,Potential number of Students,Potential number of Students For Each Year Out of School,_25th Percentile Earnings,_50th Percentile Earnings,_75th Percentile Earnings,Average Earnings,Number of Students Found,Year
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,Nursing,196,171,"$43,347","$53,860","$63,522","$50,088",160,1
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,Nursing,196,139,"$65,641","$78,342","$86,447","$75,029",132,2
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,Nursing,196,105,"$65,806","$79,209","$89,859","$76,821",94,3
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,Nursing,196,84,"$69,217","$79,748","$91,517","$80,644",72,4
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,Nursing,196,68,"$56,352","$78,973","$98,143","$77,942",61,5
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,Nursing,196,45,"$81,987","$96,791","$111,760","$97,623",39,6
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,Nursing,196,1,,,,,1,7
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,Nursing,196,,,,,,,8
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,Nursing,196,,,,,,,9
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,Nursing,196,,,,,,,10
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,Nursing,196,,,,,,,11
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,Nursing,196,,,,,,,12
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,Nursing,196,,,,,,,13
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,Nursing,196,,,,,,,14
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,Nursing,196,,,,,,,15
73,Channel Islands,1,FTF + FTT,04011,Biology,527,445,"$10,126","$20,159","$32,560","$23,002",365,1
73,Channel Islands,1,FTF + FTT,04011,Biology,527,354,"$14,450","$30,711","$45,861","$31,738",285,2
73,Channel Islands,1,FTF + FTT,04011,Biology,527,275,"$15,972","$35,145","$52,170","$36,745",217,3
73,Channel Islands,1,FTF + FTT,04011,Biology,527,223,"$28,116","$45,217","$62,368","$45,881",163,4
73,Channel Islands,1,FTF + FTT,04011,Biology,527,166,"$29,901","$45,683","$70,835","$49,328",123,5
73,Channel Islands,1,FTF + FTT,04011,Biology,527,128,"$30,228","$49,148","$71,881","$53,130",89,6
73,Channel Islands,1,FTF + FTT,04011,Biology,527,90,"$34,962","$50,978","$74,779","$54,960",56,7
73,Channel Islands,1,FTF + FTT,04011,Biology,527,66,"$35,030","$65,217","$82,956","$61,912",37,8
73,Channel Islands,1,FTF + FTT,04011,Biology,527,43,"$22,784","$59,807","$82,708","$58,587",29,9
73,Channel Islands,1,FTF + FTT,04011,Biology,527,23,"$47,089","$66,900","$75,961","$61,686",13,10
73,Channel Islands,1,FTF + FTT,04011,Biology,527,13,"$52,818","$73,928","$83,735","$66,199",7,11
73,Channel Islands,1,FTF + FTT,04011,Biology,527,5,,,,,2,12
73,Channel Islands,1,FTF + FTT,04011,Biology,527,,,,,,,13
73,Channel Islands,1,FTF + FTT,04011,Biology,527,,,,,,,14
73,Channel Islands,1,FTF + FTT,04011,Biology,527,,,,,,,15
73,Channel Islands,1,FTF + FTT,04171,Cell and Molecular Biology,89,89,"$12,180","$25,122","$40,372","$27,793",74,1
73,Channel Islands,1,FTF + FTT,04171,Cell and Molecular Biology,89,84,"$15,634","$34,698","$46,796","$33,321",71,2
73,Channel Islands,1,FTF + FTT,04171,Cell and Molecular Biology,89,74,"$16,284","$40,330","$51,491","$38,854",60,3
73,Channel Islands,1,FTF + FTT,04171,Cell and Molecular Biology,89,66,"$21,463","$43,598","$60,783","$44,490",48,4
73,Channel Islands,1,FTF + FTT,04171,Cell and Molecular Biology,89,57,"$24,943","$48,980","$63,019","$47,737",44,5
73,Channel Islands,1,FTF + FTT,04171,Cell and Molecular Biology,89,48,"$38,229","$57,001","$70,863","$58,723",37,6
73,Channel Islands,1,FTF + FTT,04171,Cell and Molecular Biology,89,39,"$44,736","$57,737","$85,750","$60,687",28,7
73,Channel Islands,1,FTF + FTT,04171,Cell and Molecular Biology,89,32,"$47,165","$58,964","$82,947","$64,292",24,8
73,Channel Islands,1,FTF + FTT,04171,Cell and Molecular Biology,89,20,"$45,135","$62,923","$92,062","$67,133",15,9
73,Channel Islands,1,FTF + FTT,04171,Cell and Molecular Biology,89,12,"$22,580","$45,167","$61,448","$45,784",8,10
73,Channel Islands,1,FTF + FTT,04171,Cell and Molecular Biology,89,6,"$38,232","$52,102","$68,869","$59,018",5,11
73,Channel Islands,1,FTF + FTT,04171,Cell and Molecular Biology,89,4,,,,,3,12
73,Channel Islands,1,FTF + FTT,04171,Cell and Molecular Biology,89,,,,,,,13
73,Channel Islands,1,FTF + FTT,04171,Cell and Molecular Biology,89,,,,,,,14
73,Channel Islands,1,FTF + FTT,04171,Cell and Molecular Biology,89,,,,,,,15
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528","1,435","$17,496","$29,318","$42,961","$32,419","1,253",1
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528","1,258","$24,228","$38,048","$52,255","$40,447","1,092",2
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528","1,107","$29,689","$43,533","$57,255","$45,647",932,3
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528",951,"$32,159","$47,756","$60,741","$49,541",784,4
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528",788,"$34,706","$51,672","$65,315","$52,937",631,5
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528",679,"$35,853","$55,023","$70,308","$56,679",536,6
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528",528,"$41,352","$59,091","$76,878","$61,754",405,7
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528",412,"$40,250","$61,762","$81,347","$64,568",315,8
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528",305,"$46,555","$65,472","$82,592","$68,936",222,9
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528",206,"$49,825","$69,024","$91,477","$75,364",154,10
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528",125,"$48,180","$75,841","$101,549","$84,306",88,11
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528",56,"$62,242","$76,331","$108,154","$97,559",39,12
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528",6,,,,,3,13
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528",1,,,,,1,14
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528",,,,,,,15
73,Channel Islands,1,FTF + FTT,06011,Communications,588,528,"$13,176","$23,084","$33,863","$25,631",470,1
73,Channel Islands,1,FTF + FTT,06011,Communications,588,401,"$18,454","$32,011","$43,338","$33,691",353,2
73,Channel Islands,1,FTF + FTT,06011,Communications,588,308,"$21,099","$35,290","$48,507","$37,286",264,3
73,Channel Islands,1,FTF + FTT,06011,Communications,588,217,"$18,532","$36,920","$53,997","$39,189",181,4
73,Channel Islands,1,FTF + FTT,06011,Communications,588,156,"$25,776","$39,138","$57,373","$43,288",124,5
73,Channel Islands,1,FTF + FTT,06011,Communications,588,95,"$29,420","$43,575","$62,234","$47,437",70,6
73,Channel Islands,1,FTF + FTT,06011,Communications,588,39,"$29,316","$43,579","$67,838","$49,762",30,7
73,Channel Islands,1,FTF + FTT,06011,Communications,588,8,"$34,823","$38,623","$40,353","$42,745",5,8
73,Channel Islands,1,FTF + FTT,06011,Communications,588,,,,,,,9
73,Channel Islands,1,FTF + FTT,06011,Communications,588,,,,,,,10
73,Channel Islands,1,FTF + FTT,06011,Communications,588,,,,,,,11
73,Channel Islands,1,FTF + FTT,06011,Communications,588,,,,,,,12
73,Channel Islands,1,FTF + FTT,06011,Communications,588,,,,,,,13
73,Channel Islands,1,FTF + FTT,06011,Communications,588,,,,,,,14
73,Channel Islands,1,FTF + FTT,06011,Communications,588,,,,,,,15
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,215,"$27,302","$41,674","$59,504","$44,878",178,1
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,194,"$41,884","$56,027","$68,980","$56,576",155,2
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,163,"$46,486","$63,479","$76,696","$62,420",134,3
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,129,"$48,934","$69,909","$82,792","$66,848",106,4
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,103,"$44,067","$67,995","$86,603","$68,121",80,5
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,76,"$57,592","$74,853","$87,172","$74,271",59,6
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,54,"$58,741","$76,560","$89,761","$78,781",43,7
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,38,"$60,140","$79,109","$93,211","$84,713",28,8
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,28,"$66,611","$93,517","$119,681","$104,572",22,9
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,16,"$57,917","$86,370","$138,573","$95,873",12,10
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,9,"$43,402","$84,852","$159,330","$93,147",7,11
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,3,,,,,3,12
