Campus,Location,Student Path,Entry Status,HEGIS at Exit,Major at Exit,Potential Number of Students,Potential Number of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,Number of Students Found,Year
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,161,156,77371.5,92513.5,105456.5,91859.83333,144,1
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,161,125,76932,95454,115529,94832.42342,111,2
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,161,101,80601.5,97760,117727.5,95946.27174,92,3
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,161,76,80416.5,99969.5,124608,100275.4167,72,4
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,161,57,91319,106260,132826,107678.9074,54,5
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,161,38,92673.5,107389.5,138558,113077.3333,36,6
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,161,21,73233.5,100586,123686,95530.1,20,7
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,161,10,76458,98758,128965,100206.5,8,8
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,161,1,,,,,1,9
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,161,,,,,,,10
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,161,,,,,,,11
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,161,,,,,,,12
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,161,,,,,,,13
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,161,,,,,,,14
70,Northridge,1,FTF + FTT,00121 + 12032,Undeclared/Unknown,161,,,,,,,15
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,26,25,7270,13866,23924,15557.36364,22,1
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,26,20,14512,17887,24881,20218.88889,18,2
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,26,17,19355,25575,35280,25821.88235,17,3
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,26,11,10788,33643,38432,26380.09091,11,4
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,26,8,16870,35385,52158,33403.71429,7,5
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,26,7,5090,35000.5,44061,37756,6,6
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,26,2,,,,,2,7
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,26,1,,,,,,8
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,26,,,,,,,9
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,26,,,,,,,10
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,26,,,,,,,11
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,26,,,,,,,12
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,26,,,,,,,13
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,26,,,,,,,14
70,Northridge,1,FTF + FTT,3085,Latin/Central American Studies,26,,,,,,,15
70,Northridge,1,FTF + FTT,4011,Biology,1475,1391,9329.5,19498,34186,23962.41058,1040,1
70,Northridge,1,FTF + FTT,4011,Biology,1475,1245,12167,26053,44388,30312.06949,921,2
70,Northridge,1,FTF + FTT,4011,Biology,1475,1117,15586,33015,50899,36365.67742,775,3
70,Northridge,1,FTF + FTT,4011,Biology,1475,992,17498,38824,57005,39908.53304,681,4
70,Northridge,1,FTF + FTT,4011,Biology,1475,895,19804,44509,63048,46043.26151,608,5
70,Northridge,1,FTF + FTT,4011,Biology,1475,788,24759,47366,68626,50880.83992,531,6
70,Northridge,1,FTF + FTT,4011,Biology,1475,712,26280,51642.5,74757,54722.47119,486,7
70,Northridge,1,FTF + FTT,4011,Biology,1475,623,30419,56364,82357,60241.02195,410,8
70,Northridge,1,FTF + FTT,4011,Biology,1475,548,34851,61758,83547,65769.78237,363,9
70,Northridge,1,FTF + FTT,4011,Biology,1475,447,35407,66297,93773,72817.75593,295,10
70,Northridge,1,FTF + FTT,4011,Biology,1475,410,37165,67871,97012,76561.12915,271,11
70,Northridge,1,FTF + FTT,4011,Biology,1475,329,41149,70916,102753,81126.02294,218,12
70,Northridge,1,FTF + FTT,4011,Biology,1475,259,35260,72652.5,102226,79157.10588,170,13
70,Northridge,1,FTF + FTT,4011,Biology,1475,211,39459,75815.5,105586,84413.62308,130,14
70,Northridge,1,FTF + FTT,4011,Biology,1475,166,40097,80555.5,106613,84567.07843,102,15
70,Northridge,1,FTF + FTT,4111,Microbiology,130,125,11916,26143.5,38749,26394.43396,106,1
70,Northridge,1,FTF + FTT,4111,Microbiology,130,103,25023,41129,53290,39645.83133,83,2
70,Northridge,1,FTF + FTT,4111,Microbiology,130,89,20656,46966.5,61370,44499.44286,70,3
70,Northridge,1,FTF + FTT,4111,Microbiology,130,76,29421.5,54839.5,67481,50062.36667,60,4
70,Northridge,1,FTF + FTT,4111,Microbiology,130,70,41366,60899,75705,57184.03774,53,5
70,Northridge,1,FTF + FTT,4111,Microbiology,130,66,47681,68497,79794,66883.27907,43,6
70,Northridge,1,FTF + FTT,4111,Microbiology,130,62,47695,73252,82720,68837.02326,43,7
70,Northridge,1,FTF + FTT,4111,Microbiology,130,56,57678,77968,95787,76348.18919,37,8
70,Northridge,1,FTF + FTT,4111,Microbiology,130,52,62594,79183.5,93265,73271.26316,38,9
70,Northridge,1,FTF + FTT,4111,Microbiology,130,44,61312,77297,93387,76767.48387,31,10
70,Northridge,1,FTF + FTT,4111,Microbiology,130,41,60506,84471,105357,81699.75862,29,11
70,Northridge,1,FTF + FTT,4111,Microbiology,130,36,65870,80155,101911,80612.81481,27,12
70,Northridge,1,FTF + FTT,4111,Microbiology,130,31,71691,80366,102092,81524.95652,23,13
70,Northridge,1,FTF + FTT,4111,Microbiology,130,26,71278,90263,108544.5,88777.875,16,14
70,Northridge,1,FTF + FTT,4111,Microbiology,130,22,58012,86239,95821,80962.29412,17,15
70,Northridge,1,FTF + FTT,4141,Biochemistry,155,149,11747.5,29637.5,40082.5,28122.33333,120,1
70,Northridge,1,FTF + FTT,4141,Biochemistry,155,133,15560,36316,47138,35470.90566,106,2
70,Northridge,1,FTF + FTT,4141,Biochemistry,155,112,22556,42318,54760,40506.76744,86,3
70,Northridge,1,FTF + FTT,4141,Biochemistry,155,97,29142,45629,60197,44942.41892,74,4
70,Northridge,1,FTF + FTT,4141,Biochemistry,155,85,30105,51205,60205,46544.79104,67,5
70,Northridge,1,FTF + FTT,4141,Biochemistry,155,72,25705,50745,66647,45604.59322,59,6
70,Northridge,1,FTF + FTT,4141,Biochemistry,155,64,26623,47673.5,71298,47716.88,50,7
70,Northridge,1,FTF + FTT,4141,Biochemistry,155,50,42365,54416.5,69662,55436.5,38,8
70,Northridge,1,FTF + FTT,4141,Biochemistry,155,44,47635,61617.5,71367,59871.35294,34,9
70,Northridge,1,FTF + FTT,4141,Biochemistry,155,32,42265.5,59191,77025.5,60560.75,24,10
