Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year,% of Students Found
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,323","1,224","$60,647","$84,862","$106,054","$85,116","1,167",1,95.34%
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,323","1,041","$72,420","$91,138","$111,388","$93,121",981,2,94.24%
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,323",848,"$74,115","$95,341","$116,313","$95,802",793,3,93.51%
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,323",708,"$75,646","$99,093","$123,076","$98,876",658,4,92.94%
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,323",615,"$77,109","$100,661","$127,095","$102,014",568,5,92.36%
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,323",498,"$81,387","$105,355","$129,413","$104,324",457,6,91.77%
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,323",446,"$80,227","$104,161","$129,208","$103,967",403,7,90.36%
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,323",379,"$85,329","$107,899","$133,159","$108,661",336,8,88.65%
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,323",335,"$81,588","$106,590","$134,868","$107,636",296,9,88.36%
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,323",235,"$79,412","$101,119","$131,438","$102,856",206,10,87.66%
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,323",209,"$80,648","$107,695","$137,308","$106,889",177,11,84.69%
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,323",153,"$79,711","$105,337","$129,916","$103,331",129,12,84.31%
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,323",87,"$77,091","$100,072","$125,662","$97,153",71,13,81.61%
