Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year,% of Students Found
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,028",917,"$35,152","$57,715","$68,111","$52,604",860,1,93.78%
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,028",780,"$68,703","$78,883","$86,905","$76,294",735,2,94.23%
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,028",620,"$69,415","$81,611","$90,686","$79,476",587,3,94.68%
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,028",457,"$69,358","$85,444","$95,943","$82,102",419,4,91.68%
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,028",311,"$70,400","$87,812","$101,638","$83,991",281,5,90.35%
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,028",194,"$62,659","$85,618","$100,987","$81,089",171,6,88.14%
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,028",121,"$64,455","$89,314","$106,503","$82,675",99,7,81.82%
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,028",62,"$59,593","$85,252","$105,633","$85,243",48,8,77.42%
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,028",17,"$68,200","$86,037","$97,224","$84,275",12,9,70.59%
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,028",,,,,,,10,#DIV/0!
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,028",,,,,,,11,#DIV/0!
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,028",,,,,,,12,#DIV/0!
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,028",,,,,,,13,#DIV/0!
