Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year,% of Students Found
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,198,"$17,401","$32,823","$48,959","$34,571",151,1,76.26%
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,186,"$27,869","$41,694","$56,084","$42,696",147,2,79.03%
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,180,"$32,979","$50,268","$61,217","$47,998",139,3,77.22%
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,171,"$34,234","$52,095","$68,904","$52,538",130,4,76.02%
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,167,"$40,559","$57,868","$73,104","$57,924",123,5,73.65%
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,157,"$44,576","$61,302","$75,604","$61,203",113,6,71.97%
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,144,"$51,107","$63,387","$75,911","$64,230",94,7,65.28%
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,130,"$45,186","$65,461","$79,883","$65,999",84,8,64.62%
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,115,"$47,430","$66,467","$80,697","$65,391",77,9,66.96%
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,95,"$43,464","$62,860","$82,379","$65,079",64,10,67.37%
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,90,"$45,728","$68,848","$85,472","$66,735",60,11,66.67%
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,84,"$45,681","$73,445","$86,451","$67,827",53,12,63.10%
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,65,"$54,600","$71,091","$88,976","$74,444",36,13,55.38%
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,53,"$44,925","$68,727","$87,233","$72,049",32,14,60.38%
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,33,"$30,985","$75,780","$97,806","$80,791",21,15,63.64%
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,958,871,"$12,536","$21,818","$30,878","$22,778",743,1,85.30%
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,958,779,"$17,235","$28,758","$39,417","$29,592",625,2,80.23%
