Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,Utilities,5,110956,98022,,,
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,Construction,5,53120,58140,,,
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,Manufacturing,12,40258,44355,7,41737,49034
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,Wholesale Trade,13,54418,63921,6,53353,79964
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,Retail Trade,19,31648,28746,8,30027,26589
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,Transportation & Warehousing,5,44950,36393,,,
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,Information,9,37079,45404,,,
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,Finance & Insurance,25,53044,52412,14,50942,58501
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,Real Estate & Rental & Leasing,5,26758,28228,,,
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,"Professional, Scientific, & Technical Skills",30,49441,51604,17,49382,61384
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,Management of Companies & Enterprises,,,,,,
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,Admin & Support & Waste Mgmt & Remediation,20,32381,34017,10,24708,23041
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,Educational Services,225,53165,46764,140,66244,59246
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,Health Care & Social Assistance,77,37475,41764,49,39453,41767
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,"Arts, Entertainment, & Recreation",,,,,,
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,Accommodation & Food Services,11,26548,29042,7,38053,64061
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,Other Services,7,27385,36306,,,
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,Government,53,55129,58676,46,65788,66743
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,Wages - No NAICS Code,33,7228,22028,22,10356,34013
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Construction,,,,,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Manufacturing,5,89817,100048,,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Wholesale Trade,,,,,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Retail Trade,6,35257,40639,5,18083,24201
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Transportation & Warehousing,,,,,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Information,,,,,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Finance & Insurance,21,90930,106589,14,88468,82779
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"Professional, Scientific, & Technical Skills",11,64223,57765,,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Management of Companies & Enterprises,,,,,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Admin & Support & Waste Mgmt & Remediation,54,47959,49012,12,31875,46577
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Educational Services,222,91265,89499,113,96969,96573
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Health Care & Social Assistance,1826,97563,99350,632,107513,108690
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"Arts, Entertainment, & Recreation",,,,,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Accommodation & Food Services,,,,,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Other Services,,,,,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Non-Classified,,,,,,
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Government,248,98117,102433,118,108020,108183
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Wages - No NAICS Code,42,26091,68632,18,17011,60279
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,"Agriculture, Forestry, Fishing, & Hunting",11,61710,59535,7,60951,55978
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Utilities,,,,,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Construction,,,,,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Manufacturing,,,,,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Wholesale Trade,6,81594,88832,,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Retail Trade,,,,,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Transportation & Warehousing,,,,,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Information,,,,,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Finance & Insurance,,,,,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Real Estate & Rental & Leasing,,,,,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,"Professional, Scientific, & Technical Skills",7,52168,54815,5,52321,58482
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Admin & Support & Waste Mgmt & Remediation,18,58693,60536,7,76673,67225
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Educational Services,12,66017,65147,5,72497,71480
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Health Care & Social Assistance,,,,,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,"Arts, Entertainment, & Recreation",19,71407,72309,10,88443,100006
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Accommodation & Food Services,,,,,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Other Services,,,,,,
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Government,21,55293,57177,12,68920,73905
