campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,777,768,11485,22836,39178,27800,626,1
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,777,747,16706,30776,49156,33963,628,2
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,777,734,21940,36681,53088,38259,608,3
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,777,716,22721,40722,57316,42012,583,4
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,777,693,27188,46136,61610,45313,559,5
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,777,669,28477,49031,63814,48165,534,6
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,777,639,30140,50422,68075,50752,500,7
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,777,602,34138,52839,70664,54006,454,8
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,777,539,32306,55087,73256,55133,407,9
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,777,466,33400,54443,72251,54740,350,10
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,777,404,28926,51846,74413,54236,307,11
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,777,344,33369,56624,77156,55735,252,12
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,777,305,31371,57261,77535,57185,224,13
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,777,225,32281,60100,79902,59709,161,14
0,1,FTF + FTT,00000,00000,Undeclared/Unknown,777,133,31918,63614,80556,56848,89,15
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,5473,5069,52353,73486,97814,75645,4739,1
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,5473,4466,70873,85935,105156,88107,4142,2
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,5473,3814,72769,88529,109506,91230,3512,3
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,5473,3240,73489,91819,114342,93325,2938,4
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,5473,2731,75015,95812,118911,96538,2457,5
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,5473,2238,77050,98950,121552,98678,1986,6
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,5473,1869,74238,100328,123428,99487,1639,7
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,5473,1586,79894,102650,127961,103714,1371,8
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,5473,1314,79804,102885,128665,104206,1133,9
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,5473,1081,79562,103378,128713,104200,926,10
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,5473,932,80279,104768,131305,105263,774,11
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,5473,764,76389,104469,127682,102813,633,12
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,5473,555,78084,106113,132963,104882,451,13
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,5473,436,80133,107160,132216,105755,350,14
0,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,5473,324,86857,109994,131883,109390,255,15
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,198,17401,32823,48959,34571,151,1
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,186,27869,41694,56084,42696,147,2
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,180,32979,50268,61217,47998,139,3
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,171,34234,52095,68904,52538,130,4
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,167,40559,57868,73104,57924,123,5
0,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,157,44576,61302,75604,61203,113,6
