Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Construction,,,,,,
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Educational Services,,,,,,
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Health Care & Social Assistance,49,85131,81484,,,
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Government,6,70967,72009,,,
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Wages - No NAICS Code,,,,,,
73,1,FTF + FTT,04011,04011,Biology,Utilities,,,,,,
73,1,FTF + FTT,04011,04011,Biology,Construction,,,,,,
73,1,FTF + FTT,04011,04011,Biology,Manufacturing,18,69183,62878,,,
73,1,FTF + FTT,04011,04011,Biology,Wholesale Trade,,,,,,
73,1,FTF + FTT,04011,04011,Biology,Retail Trade,10,29788,31430,,,
73,1,FTF + FTT,04011,04011,Biology,Transportation & Warehousing,,,,,,
73,1,FTF + FTT,04011,04011,Biology,Finance & Insurance,,,,,,
73,1,FTF + FTT,04011,04011,Biology,Real Estate & Rental & Leasing,,,,,,
73,1,FTF + FTT,04011,04011,Biology,"Professional, Scientific, & Technical Skills",14,50072,49818,,,
73,1,FTF + FTT,04011,04011,Biology,Admin & Support & Waste Mgmt & Remediation,6,50262,53472,,,
73,1,FTF + FTT,04011,04011,Biology,Educational Services,13,49276,41987,,,
73,1,FTF + FTT,04011,04011,Biology,Health Care & Social Assistance,32,53515,63428,,,
73,1,FTF + FTT,04011,04011,Biology,"Arts, Entertainment, & Recreation",,,,,,
73,1,FTF + FTT,04011,04011,Biology,Accommodation & Food Services,,,,,,
73,1,FTF + FTT,04011,04011,Biology,Government,10,43392,45505,,,
73,1,FTF + FTT,04011,04011,Biology,Wages - No NAICS Code,6,32111,30870,,,
73,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Utilities,,,,,,
73,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Manufacturing,12,61710,70413,,,
73,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Wholesale Trade,,,,,,
73,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Retail Trade,,,,,,
73,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Information,,,,,,
73,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Finance & Insurance,,,,,,
73,1,FTF + FTT,04171,04171,Cell and Molecular Biology,"Professional, Scientific, & Technical Skills",,,,,,
73,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Management of Companies & Enterprises,,,,,,
73,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Admin & Support & Waste Mgmt & Remediation,,,,,,
73,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Educational Services,,,,,,
73,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Health Care & Social Assistance,9,38589,46117,,,
73,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Accommodation & Food Services,,,,,,
73,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Government,,,,,,
73,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Wages - No NAICS Code,,,,,,
73,1,FTF + FTT,05011,05011,Business Administration,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
73,1,FTF + FTT,05011,05011,Business Administration,Utilities,10,62573,73208,5,111310,110412
73,1,FTF + FTT,05011,05011,Business Administration,Construction,21,31058,40642,,,
73,1,FTF + FTT,05011,05011,Business Administration,Manufacturing,72,62486,67673,27,87461,84538
73,1,FTF + FTT,05011,05011,Business Administration,Wholesale Trade,38,49305,59471,7,63383,102560
73,1,FTF + FTT,05011,05011,Business Administration,Retail Trade,67,41586,40579,8,59231,56403
73,1,FTF + FTT,05011,05011,Business Administration,Transportation & Warehousing,6,48458,41567,,,
73,1,FTF + FTT,05011,05011,Business Administration,Information,21,54870,54856,7,81155,85175
73,1,FTF + FTT,05011,05011,Business Administration,Finance & Insurance,78,55540,61495,21,85523,91957
73,1,FTF + FTT,05011,05011,Business Administration,Real Estate & Rental & Leasing,22,50079,48479,,,
73,1,FTF + FTT,05011,05011,Business Administration,"Professional, Scientific, & Technical Skills",72,55778,56977,22,73781,71791
73,1,FTF + FTT,05011,05011,Business Administration,Management of Companies & Enterprises,,,,,,
