Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,196,171,43347,53860,63522,50088,160,1
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,196,139,65641,78342,86447,75029,132,2
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,196,105,65806,79209,89859,76821,94,3
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,196,84,69217,79748,91517,80644,72,4
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,196,68,56352,78973,98143,77942,61,5
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,196,45,81987,96791,111760,97623,39,6
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,196,1,,,,,1,7
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,196,,,,,,,8
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,196,,,,,,,9
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,196,,,,,,,10
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,196,,,,,,,11
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,196,,,,,,,12
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,196,,,,,,,13
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,196,,,,,,,14
73,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,196,,,,,,,15
73,1,FTF + FTT,04011,04011,Biology,527,445,10126,20159,32560,23002,365,1
73,1,FTF + FTT,04011,04011,Biology,527,354,14450,30711,45861,31738,285,2
73,1,FTF + FTT,04011,04011,Biology,527,275,15972,35145,52170,36745,217,3
73,1,FTF + FTT,04011,04011,Biology,527,223,28116,45217,62368,45881,163,4
73,1,FTF + FTT,04011,04011,Biology,527,166,29901,45683,70835,49328,123,5
73,1,FTF + FTT,04011,04011,Biology,527,128,30228,49148,71881,53130,89,6
73,1,FTF + FTT,04011,04011,Biology,527,90,34962,50978,74779,54960,56,7
73,1,FTF + FTT,04011,04011,Biology,527,66,35030,65217,82956,61912,37,8
73,1,FTF + FTT,04011,04011,Biology,527,43,22784,59807,82708,58587,29,9
73,1,FTF + FTT,04011,04011,Biology,527,23,47089,66900,75961,61686,13,10
73,1,FTF + FTT,04011,04011,Biology,527,13,52818,73928,83735,66199,7,11
73,1,FTF + FTT,04011,04011,Biology,527,5,,,,,2,12
73,1,FTF + FTT,04011,04011,Biology,527,,,,,,,13
73,1,FTF + FTT,04011,04011,Biology,527,,,,,,,14
73,1,FTF + FTT,04011,04011,Biology,527,,,,,,,15
73,1,FTF + FTT,04171,04171,Cell and Molecular Biology,89,89,12180,25122,40372,27793,74,1
73,1,FTF + FTT,04171,04171,Cell and Molecular Biology,89,84,15634,34698,46796,33321,71,2
73,1,FTF + FTT,04171,04171,Cell and Molecular Biology,89,74,16284,40330,51491,38854,60,3
73,1,FTF + FTT,04171,04171,Cell and Molecular Biology,89,66,21463,43598,60783,44490,48,4
