Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
55,1,FTF + FTT,00000,00000,Undeclared/Unknown,Information,,,,,,
55,1,FTF + FTT,00000,00000,Undeclared/Unknown,"Professional, Scientific, & Technical Skills",,,,,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Construction,,,,,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Manufacturing,,,,,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Wholesale Trade,,,,,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Retail Trade,,,,,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Information,,,,,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Finance & Insurance,11,99533,106297,6,77953,68703
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"Professional, Scientific, & Technical Skills",,,,,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Management of Companies & Enterprises,,,,,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Admin & Support & Waste Mgmt & Remediation,16,43081,45659,,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Educational Services,57,77852,85069,36,95362,93451
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Health Care & Social Assistance,526,106422,105364,222,112259,113936
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Accommodation & Food Services,,,,,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Other Services,,,,,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Non-Classified,,,,,,
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Government,106,103364,110796,57,111988,110617
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Wages - No NAICS Code,18,84645,95010,9,66527,95797
55,1,FTF + FTT,04011,04011,Biology,Utilities,,,,,,
55,1,FTF + FTT,04011,04011,Biology,Manufacturing,23,57189,62088,14,69093,65756
55,1,FTF + FTT,04011,04011,Biology,Wholesale Trade,,,,,,
55,1,FTF + FTT,04011,04011,Biology,Retail Trade,12,33152,43510,5,40097,74387
55,1,FTF + FTT,04011,04011,Biology,Transportation & Warehousing,,,,,,
55,1,FTF + FTT,04011,04011,Biology,Finance & Insurance,,,,,,
55,1,FTF + FTT,04011,04011,Biology,Real Estate & Rental & Leasing,,,,,,
55,1,FTF + FTT,04011,04011,Biology,"Professional, Scientific, & Technical Skills",12,44677,49165,5,80269,77875
55,1,FTF + FTT,04011,04011,Biology,Admin & Support & Waste Mgmt & Remediation,6,16295,32469,5,81566,103617
55,1,FTF + FTT,04011,04011,Biology,Educational Services,26,45863,39895,13,58001,54441
55,1,FTF + FTT,04011,04011,Biology,Health Care & Social Assistance,29,63729,63692,16,82210,98870
55,1,FTF + FTT,04011,04011,Biology,"Arts, Entertainment, & Recreation",,,,,,
55,1,FTF + FTT,04011,04011,Biology,Accommodation & Food Services,,,,,,
55,1,FTF + FTT,04011,04011,Biology,Other Services,,,,,,
55,1,FTF + FTT,04011,04011,Biology,Government,14,65497,58058,12,77166,84435
55,1,FTF + FTT,04011,04011,Biology,Wages - No NAICS Code,12,14859,24761,5,19878,40930
55,1,FTF + FTT,04141,04141,Biochemistry,Manufacturing,,,,,,
55,1,FTF + FTT,04141,04141,Biochemistry,Retail Trade,,,,,,
55,1,FTF + FTT,04141,04141,Biochemistry,"Professional, Scientific, & Technical Skills",,,,,,
55,1,FTF + FTT,04141,04141,Biochemistry,Admin & Support & Waste Mgmt & Remediation,,,,,,
55,1,FTF + FTT,04141,04141,Biochemistry,Educational Services,,,,,,
55,1,FTF + FTT,04141,04141,Biochemistry,Health Care & Social Assistance,,,,,,
55,1,FTF + FTT,05011,05011,Business Administration,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
55,1,FTF + FTT,05011,05011,Business Administration,Mining,,,,,,
55,1,FTF + FTT,05011,05011,Business Administration,Utilities,19,71676,60776,17,93507,92533
55,1,FTF + FTT,05011,05011,Business Administration,Construction,47,57606,56708,26,66028,71343
55,1,FTF + FTT,05011,05011,Business Administration,Manufacturing,180,59152,62030,95,75920,80176
55,1,FTF + FTT,05011,05011,Business Administration,Wholesale Trade,155,50822,53717,66,60004,67468
55,1,FTF + FTT,05011,05011,Business Administration,Retail Trade,205,43940,49063,62,56280,74966
55,1,FTF + FTT,05011,05011,Business Administration,Transportation & Warehousing,141,51323,54102,70,62460,68891
55,1,FTF + FTT,05011,05011,Business Administration,Information,85,60067,64433,33,68469,74210
55,1,FTF + FTT,05011,05011,Business Administration,Finance & Insurance,225,55868,59154,117,65189,73026
55,1,FTF + FTT,05011,05011,Business Administration,Real Estate & Rental & Leasing,87,51045,55004,32,66910,71281
55,1,FTF + FTT,05011,05011,Business Administration,"Professional, Scientific, & Technical Skills",247,53750,55920,119,62123,71707
55,1,FTF + FTT,05011,05011,Business Administration,Management of Companies & Enterprises,10,63424,58250,8,78235,67482
55,1,FTF + FTT,05011,05011,Business Administration,Admin & Support & Waste Mgmt & Remediation,165,38109,43812,54,40477,48245
55,1,FTF + FTT,05011,05011,Business Administration,Educational Services,164,47921,48601,83,53670,51412
55,1,FTF + FTT,05011,05011,Business Administration,Health Care & Social Assistance,122,47456,50298,73,54633,61365
55,1,FTF + FTT,05011,05011,Business Administration,"Arts, Entertainment, & Recreation",23,39848,57321,10,37617,35561
55,1,FTF + FTT,05011,05011,Business Administration,Accommodation & Food Services,83,34975,36631,25,43189,46617
55,1,FTF + FTT,05011,05011,Business Administration,Other Services,49,51648,51043,25,66007,66799
55,1,FTF + FTT,05011,05011,Business Administration,Non-Classified,,,,,,
55,1,FTF + FTT,05011,05011,Business Administration,Government,184,63435,65321,111,76961,78462
55,1,FTF + FTT,05011,05011,Business Administration,Wages - No NAICS Code,125,31087,43019,58,55118,58897
55,1,FTF + FTT,05041,05041,Finance,Information,,,,,,
55,1,FTF + FTT,05082 + 05083,05083,Travel and Tourism/Tourism Management,Retail Trade,,,,,,
55,1,FTF + FTT,05082 + 05083,05083,Travel and Tourism/Tourism Management,Transportation & Warehousing,,,,,,
55,1,FTF + FTT,05082 + 05083,05083,Travel and Tourism/Tourism Management,Finance & Insurance,,,,,,
55,1,FTF + FTT,05082 + 05083,05083,Travel and Tourism/Tourism Management,Educational Services,,,,,,
55,1,FTF + FTT,05082 + 05083,05083,Travel and Tourism/Tourism Management,Health Care & Social Assistance,,,,,,
55,1,FTF + FTT,05082 + 05083,05083,Travel and Tourism/Tourism Management,Accommodation & Food Services,,,,,,
55,1,FTF + FTT,05082 + 05083,05083,Travel and Tourism/Tourism Management,Government,,,,,,
55,1,FTF + FTT,05082 + 05083,05083,Travel and Tourism/Tourism Management,Wages - No NAICS Code,,,,,,
55,1,FTF + FTT,05131,05131,International Business,Other Services,,,,,,
55,1,FTF + FTT,06011,06011,Communications,Utilities,5,60140,63611,,,
55,1,FTF + FTT,06011,06011,Communications,Construction,5,41552,39438,,,
55,1,FTF + FTT,06011,06011,Communications,Manufacturing,26,49790,54477,13,51117,54690
55,1,FTF + FTT,06011,06011,Communications,Wholesale Trade,20,39058,48132,12,71147,71246
55,1,FTF + FTT,06011,06011,Communications,Retail Trade,35,30184,36333,15,51032,49329
55,1,FTF + FTT,06011,06011,Communications,Transportation & Warehousing,12,25256,36430,6,76616,108123
55,1,FTF + FTT,06011,06011,Communications,Information,43,44696,52347,21,78002,74416
55,1,FTF + FTT,06011,06011,Communications,Finance & Insurance,29,47447,46889,11,70418,66210
55,1,FTF + FTT,06011,06011,Communications,Real Estate & Rental & Leasing,12,36518,39512,,,
55,1,FTF + FTT,06011,06011,Communications,"Professional, Scientific, & Technical Skills",51,45165,46899,24,55408,59744
55,1,FTF + FTT,06011,06011,Communications,Management of Companies & Enterprises,,,,,,
55,1,FTF + FTT,06011,06011,Communications,Admin & Support & Waste Mgmt & Remediation,45,33959,36495,18,43942,41895
55,1,FTF + FTT,06011,06011,Communications,Educational Services,47,38284,35565,27,47880,44828
55,1,FTF + FTT,06011,06011,Communications,Health Care & Social Assistance,33,46549,44327,16,29640,36143
55,1,FTF + FTT,06011,06011,Communications,"Arts, Entertainment, & Recreation",12,38374,38931,5,64882,48681
55,1,FTF + FTT,06011,06011,Communications,Accommodation & Food Services,22,27585,26750,7,37208,33804
55,1,FTF + FTT,06011,06011,Communications,Other Services,16,28352,33642,,,
55,1,FTF + FTT,06011,06011,Communications,Non-Classified,,,,,,
55,1,FTF + FTT,06011,06011,Communications,Government,31,59110,58529,21,59831,67396
55,1,FTF + FTT,06011,06011,Communications,Wages - No NAICS Code,27,7539,19245,14,23514,31268
55,1,FTF + FTT,06991,06991,Multimedia,Construction,,,,,,
55,1,FTF + FTT,06991,06991,Multimedia,Manufacturing,9,43701,43897,,,
55,1,FTF + FTT,06991,06991,Multimedia,Wholesale Trade,,,,,,
55,1,FTF + FTT,06991,06991,Multimedia,Retail Trade,19,16106,23340,,,
55,1,FTF + FTT,06991,06991,Multimedia,Transportation & Warehousing,,,,,,
55,1,FTF + FTT,06991,06991,Multimedia,Information,23,39630,38863,,,
55,1,FTF + FTT,06991,06991,Multimedia,Finance & Insurance,,,,,,
55,1,FTF + FTT,06991,06991,Multimedia,Real Estate & Rental & Leasing,,,,,,
55,1,FTF + FTT,06991,06991,Multimedia,"Professional, Scientific, & Technical Skills",22,42878,40499,8,71827,66272
55,1,FTF + FTT,06991,06991,Multimedia,Admin & Support & Waste Mgmt & Remediation,,,,,,
55,1,FTF + FTT,06991,06991,Multimedia,Educational Services,16,38259,35998,,,
55,1,FTF + FTT,06991,06991,Multimedia,Health Care & Social Assistance,7,32908,31250,,,
55,1,FTF + FTT,06991,06991,Multimedia,"Arts, Entertainment, & Recreation",7,46224,43977,,,
55,1,FTF + FTT,06991,06991,Multimedia,Accommodation & Food Services,7,28157,27618,,,
55,1,FTF + FTT,06991,06991,Multimedia,Other Services,,,,,,
55,1,FTF + FTT,06991,06991,Multimedia,Non-Classified,,,,,,
55,1,FTF + FTT,06991,06991,Multimedia,Government,8,33456,31586,,,
55,1,FTF + FTT,06991,06991,Multimedia,Wages - No NAICS Code,12,16898,25941,5,4098,22174
55,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Utilities,,,,,,
55,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Construction,,,,,,
55,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Manufacturing,21,81648,84932,15,111758,104187
55,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Wholesale Trade,8,45453,50683,6,67950,64220
55,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Retail Trade,8,47678,54117,,,
55,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Transportation & Warehousing,,,,,,
55,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Information,5,75981,77053,,,
55,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Finance & Insurance,,,,,,
55,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Real Estate & Rental & Leasing,,,,,,
