Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year
55,1,FTF + FTT,00000,00000,Undeclared/Unknown,1,1,,,,,1,1
55,1,FTF + FTT,00000,00000,Undeclared/Unknown,1,1,,,,,1,2
55,1,FTF + FTT,00000,00000,Undeclared/Unknown,1,1,,,,,1,3
55,1,FTF + FTT,00000,00000,Undeclared/Unknown,1,1,,,,,1,4
55,1,FTF + FTT,00000,00000,Undeclared/Unknown,1,1,,,,,1,5
55,1,FTF + FTT,00000,00000,Undeclared/Unknown,1,1,,,,,1,6
55,1,FTF + FTT,00000,00000,Undeclared/Unknown,1,1,,,,,1,7
55,1,FTF + FTT,00000,00000,Undeclared/Unknown,1,1,,,,,1,8
55,1,FTF + FTT,00000,00000,Undeclared/Unknown,1,1,,,,,1,9
55,1,FTF + FTT,00000,00000,Undeclared/Unknown,1,1,,,,,1,10
55,1,FTF + FTT,00000,00000,Undeclared/Unknown,1,1,,,,,1,11
55,1,FTF + FTT,00000,00000,Undeclared/Unknown,1,1,,,,,1,12
55,1,FTF + FTT,00000,00000,Undeclared/Unknown,1,,,,,,,13
55,1,FTF + FTT,00000,00000,Undeclared/Unknown,1,,,,,,,14
55,1,FTF + FTT,00000,00000,Undeclared/Unknown,1,,,,,,,15
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1559,1464,69921,89863,112027,91237,1371,1
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1559,1309,73190,94842,115797,95235,1208,2
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1559,1140,75523,97518,121278,98328,1038,3
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1559,993,77190,100350,124384,99917,885,4
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1559,843,76556,102590,126953,102678,745,5
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1559,733,79652,103322,129763,103643,638,6
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1559,646,76505,104620,129901,104220,552,7
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1559,558,78116,107860,134543,106550,475,8
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1559,474,77950,103834,132748,105541,393,9
55,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1559,421,83059,106303,131977,107931,343,10
