Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Manufacturing,,,,,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Wholesale Trade,,,,,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Retail Trade,,,,,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Finance & Insurance,5,94860,85193,,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"Professional, Scientific, & Technical Skills",,,,,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Admin & Support & Waste Mgmt & Remediation,8,69543,71346,,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Educational Services,40,91260,87255,25,93523,88323
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Health Care & Social Assistance,465,102748,105063,158,105130,108020
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"Arts, Entertainment, & Recreation",,,,,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Accommodation & Food Services,,,,,,
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Government,31,98194,101339,13,102930,106303
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Wages - No NAICS Code,6,44159,66202,,,
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,"Professional, Scientific, & Technical Skills",,,,,,
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,Retail Trade,,,,,,
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,Transportation & Warehousing,,,,,,
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,Information,,,,,,
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,Finance & Insurance,,,,,,
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,Educational Services,,,,,,
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,Health Care & Social Assistance,,,,,,
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,Accommodation & Food Services,,,,,,
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,Non-Classified,,,,,,
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,Wages - No NAICS Code,,,,,,
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,Information,,,,,,
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,Admin & Support & Waste Mgmt & Remediation,,,,,,
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,Wages - No NAICS Code,,,,,,
50,1,FTF + FTT,03131,03131,American Studies,Construction,8,28613,45359,,,
50,1,FTF + FTT,03131,03131,American Studies,Manufacturing,5,40604,44731,,,
50,1,FTF + FTT,03131,03131,American Studies,Wholesale Trade,12,40502,42498,7,68475,69669
50,1,FTF + FTT,03131,03131,American Studies,Retail Trade,26,39911,39433,10,42124,39466
50,1,FTF + FTT,03131,03131,American Studies,Transportation & Warehousing,,,,,,
50,1,FTF + FTT,03131,03131,American Studies,Information,7,50483,44954,,,
50,1,FTF + FTT,03131,03131,American Studies,Finance & Insurance,17,50640,64454,12,47922,53898
50,1,FTF + FTT,03131,03131,American Studies,Real Estate & Rental & Leasing,7,46621,40992,5,55999,62738
50,1,FTF + FTT,03131,03131,American Studies,"Professional, Scientific, & Technical Skills",22,44904,44775,9,77277,77019
50,1,FTF + FTT,03131,03131,American Studies,Management of Companies & Enterprises,,,,,,
50,1,FTF + FTT,03131,03131,American Studies,Admin & Support & Waste Mgmt & Remediation,19,45769,49688,8,71904,58891
50,1,FTF + FTT,03131,03131,American Studies,Educational Services,66,54391,47416,45,69341,59073
50,1,FTF + FTT,03131,03131,American Studies,Health Care & Social Assistance,9,46292,40599,,,
50,1,FTF + FTT,03131,03131,American Studies,"Arts, Entertainment, & Recreation",6,32496,33535,7,47623,39328
50,1,FTF + FTT,03131,03131,American Studies,Accommodation & Food Services,10,39361,35218,,,
50,1,FTF + FTT,03131,03131,American Studies,Other Services,9,37983,36870,,,
50,1,FTF + FTT,03131,03131,American Studies,Non-Classified,,,,,,
50,1,FTF + FTT,03131,03131,American Studies,Government,17,60462,63342,10,93434,81268
50,1,FTF + FTT,03131,03131,American Studies,Wages - No NAICS Code,12,36611,38641,7,2642,21117
50,1,FTF + FTT,04011,04011,Biology,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
50,1,FTF + FTT,04011,04011,Biology,Utilities,,,,,,
50,1,FTF + FTT,04011,04011,Biology,Construction,,,,,,
50,1,FTF + FTT,04011,04011,Biology,Manufacturing,47,57139,61787,22,79396,81752
50,1,FTF + FTT,04011,04011,Biology,Wholesale Trade,36,62245,63628,12,95364,84624
50,1,FTF + FTT,04011,04011,Biology,Retail Trade,43,45277,52939,26,80281,92209
50,1,FTF + FTT,04011,04011,Biology,Transportation & Warehousing,6,65472,56237,,,
50,1,FTF + FTT,04011,04011,Biology,Information,7,71433,64573,,,
50,1,FTF + FTT,04011,04011,Biology,Finance & Insurance,23,54761,52668,16,65827,67591
50,1,FTF + FTT,04011,04011,Biology,Real Estate & Rental & Leasing,5,46245,52554,,,
50,1,FTF + FTT,04011,04011,Biology,"Professional, Scientific, & Technical Skills",67,53187,52967,39,64301,62875
50,1,FTF + FTT,04011,04011,Biology,Management of Companies & Enterprises,,,,,,
50,1,FTF + FTT,04011,04011,Biology,Admin & Support & Waste Mgmt & Remediation,41,40402,46585,15,48103,65477
50,1,FTF + FTT,04011,04011,Biology,Educational Services,97,54139,49507,54,71106,64813
50,1,FTF + FTT,04011,04011,Biology,Health Care & Social Assistance,113,47936,52057,62,80284,90528
50,1,FTF + FTT,04011,04011,Biology,"Arts, Entertainment, & Recreation",7,27264,28096,,,
50,1,FTF + FTT,04011,04011,Biology,Accommodation & Food Services,13,29135,40618,8,45453,55817
50,1,FTF + FTT,04011,04011,Biology,Other Services,11,38813,35331,,,
50,1,FTF + FTT,04011,04011,Biology,Non-Classified,,,,,,
50,1,FTF + FTT,04011,04011,Biology,Government,22,49634,53264,19,75157,77734
50,1,FTF + FTT,04011,04011,Biology,Wages - No NAICS Code,27,22752,29080,13,13743,29359
50,1,FTF + FTT,04141,04141,Biochemistry,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
50,1,FTF + FTT,04141,04141,Biochemistry,Construction,,,,,,
50,1,FTF + FTT,04141,04141,Biochemistry,Manufacturing,35,53859,54673,13,82739,82863
50,1,FTF + FTT,04141,04141,Biochemistry,Wholesale Trade,,,,,,
50,1,FTF + FTT,04141,04141,Biochemistry,Retail Trade,18,40487,52138,5,55421,60122
