Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1323,1224,60647,84862,106054,85116,1167,1
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1323,1041,72420,91138,111388,93121,981,2
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1323,848,74115,95341,116313,95802,793,3
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1323,708,75646,99093,123076,98876,658,4
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1323,615,77109,100661,127095,102014,568,5
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1323,498,81387,105355,129413,104324,457,6
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1323,446,80227,104161,129208,103967,403,7
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1323,379,85329,107899,133159,108661,336,8
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1323,335,81588,106590,134868,107636,296,9
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1323,235,79412,101119,131438,102856,206,10
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1323,209,80648,107695,137308,106889,177,11
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1323,153,79711,105337,129916,103331,129,12
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1323,87,77091,100072,125662,97153,71,13
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1323,66,73791,104757,129141,98042,54,14
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1323,47,82885,107360,132281,105625,38,15
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,1,1
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,1,2
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,,3
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,1,4
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,1,5
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,1,6
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,1,7
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,1,8
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,,9
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,,10
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,,11
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,,12
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,,13
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,,14
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,,15
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,29,5695,16931,35039,23067,24,1
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,26,12664,26902,46659,28983,20,2
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,22,7587,22284,53081,32873,17,3
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,21,15807,45114,63171,42260,15,4
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,18,28382,43129,62411,49082,13,5
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,17,15393,47621,63714,44518,13,6
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,16,39339,55029,89655,64795,8,7
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,15,44898,47913,71393,57885,7,8
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,13,20591,62921,96499,60068,8,9
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,12,58293,71956,73698,73837,5,10
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,12,58799,71687,72991,71742,5,11
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,11,,,,,4,12
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,10,,,,,4,13
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,8,,,,,3,14
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,7,,,,,2,15
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,7,16068,17997,21516,16984,5,1
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,7,14216,22146,24524,19133,5,2
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,7,15748,24190,27630,20597,5,3
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,7,,,,,4,4
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,5,,,,,4,5
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,4,,,,,3,6
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,2,,,,,,7
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,1,,,,,,8
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,1,,,,,,9
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,1,,,,,1,10
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,,,,,,,11
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,,,,,,,12
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,,,,,,,13
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,,,,,,,14
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,,,,,,,15
50,1,FTF + FTT,03131,03131,American Studies,463,443,10987,22363,35643,25519,375,1
50,1,FTF + FTT,03131,03131,American Studies,463,419,16945,28768,43808,31606,353,2
50,1,FTF + FTT,03131,03131,American Studies,463,390,18411,35584,52082,36277,327,3
50,1,FTF + FTT,03131,03131,American Studies,463,367,25212,41444,55743,42310,286,4
50,1,FTF + FTT,03131,03131,American Studies,463,339,27352,44397,61949,46102,255,5
50,1,FTF + FTT,03131,03131,American Studies,463,313,27068,45281,64535,46320,232,6
50,1,FTF + FTT,03131,03131,American Studies,463,296,31529,46887,65117,48795,216,7
50,1,FTF + FTT,03131,03131,American Studies,463,264,28861,49660,72315,51500,191,8
50,1,FTF + FTT,03131,03131,American Studies,463,226,31422,52608,77307,55891,159,9
50,1,FTF + FTT,03131,03131,American Studies,463,201,35534,55999,79449,58045,143,10
50,1,FTF + FTT,03131,03131,American Studies,463,170,31398,59309,82212,60011,114,11
50,1,FTF + FTT,03131,03131,American Studies,463,140,44530,61453,85182,63424,90,12
50,1,FTF + FTT,03131,03131,American Studies,463,104,49943,61358,89654,65865,65,13
50,1,FTF + FTT,03131,03131,American Studies,463,71,48513,64461,99447,67347,37,14
50,1,FTF + FTT,03131,03131,American Studies,463,49,57098,72740,105578,72340,23,15
50,1,FTF + FTT,04011,04011,Biology,1486,1307,9969,21922,35360,24678,1055,1
50,1,FTF + FTT,04011,04011,Biology,1486,1137,14231,31186,46944,32152,882,2
50,1,FTF + FTT,04011,04011,Biology,1486,996,18282,37792,53659,38150,732,3
50,1,FTF + FTT,04011,04011,Biology,1486,875,18931,42487,60666,43213,650,4
50,1,FTF + FTT,04011,04011,Biology,1486,782,29906,49997,67129,51244,575,5
50,1,FTF + FTT,04011,04011,Biology,1486,691,34567,55657,75030,57574,504,6
50,1,FTF + FTT,04011,04011,Biology,1486,614,37622,60038,80813,61977,456,7
50,1,FTF + FTT,04011,04011,Biology,1486,537,42109,65454,84876,66551,395,8
50,1,FTF + FTT,04011,04011,Biology,1486,473,46641,65626,89790,71614,341,9
50,1,FTF + FTT,04011,04011,Biology,1486,415,43374,70075,92642,73221,298,10
50,1,FTF + FTT,04011,04011,Biology,1486,353,43194,72894,96444,74326,253,11
50,1,FTF + FTT,04011,04011,Biology,1486,298,46954,73754,97539,78182,213,12
50,1,FTF + FTT,04011,04011,Biology,1486,251,47952,76496,104306,80571,181,13
50,1,FTF + FTT,04011,04011,Biology,1486,195,49131,82943,107533,86019,133,14
50,1,FTF + FTT,04011,04011,Biology,1486,135,48334,81124,108375,83427,91,15
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,1,,,,,,1
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,1,,,,,1,2
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,3
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,4
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,5
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,6
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,7
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,8
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,9
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,10
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,11
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,12
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,13
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,14
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,15
50,1,FTF + FTT,04141,04141,Biochemistry,439,377,10444,20047,35867,23646,297,1
50,1,FTF + FTT,04141,04141,Biochemistry,439,323,13491,29848,45452,31111,244,2
50,1,FTF + FTT,04141,04141,Biochemistry,439,284,16527,34765,52836,35214,211,3
50,1,FTF + FTT,04141,04141,Biochemistry,439,238,17870,38795,55322,39662,166,4
50,1,FTF + FTT,04141,04141,Biochemistry,439,206,25224,46403,64411,47903,145,5
50,1,FTF + FTT,04141,04141,Biochemistry,439,182,31479,51343,73582,54989,131,6
50,1,FTF + FTT,04141,04141,Biochemistry,439,152,33670,53853,78224,57366,107,7
50,1,FTF + FTT,04141,04141,Biochemistry,439,117,39044,62777,85783,63848,83,8
50,1,FTF + FTT,04141,04141,Biochemistry,439,97,33919,57866,80318,59632,69,9
