Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Retail Trade,,,,,,
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Finance & Insurance,,,,,,
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Admin & Support & Waste Mgmt & Remediation,8,26030,34076,,,
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Educational Services,16,82199,72943,,,
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Health Care & Social Assistance,246,89025,86996,,,
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Other Services,,,,,,
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Government,6,89444,96652,,,
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Wages - No NAICS Code,,,,,,
40,1,FTF + FTT,02031,02031,Interior Design,Construction,,,,,,
40,1,FTF + FTT,02031,02031,Interior Design,"Professional, Scientific, & Technical Skills",6,52140,49380,,,
40,1,FTF + FTT,02031,02031,Interior Design,Admin & Support & Waste Mgmt & Remediation,,,,,,
40,1,FTF + FTT,02031,02031,Interior Design,Accommodation & Food Services,,,,,,
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,Manufacturing,,,,,,
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,Wholesale Trade,5,34051,39940,,,
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,Retail Trade,,,,,,
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,Information,,,,,,
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,Finance & Insurance,,,,,,
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,"Professional, Scientific, & Technical Skills",,,,,,
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,Admin & Support & Waste Mgmt & Remediation,,,,,,
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,Health Care & Social Assistance,,,,,,
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,Accommodation & Food Services,,,,,,
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,Wages - No NAICS Code,,,,,,
40,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,Admin & Support & Waste Mgmt & Remediation,,,,,,
40,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,Educational Services,,,,,,
40,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,Accommodation & Food Services,,,,,,
40,1,FTF + FTT,03131,03131,American Studies,Construction,,,,,,
40,1,FTF + FTT,03131,03131,American Studies,Retail Trade,,,,,,
40,1,FTF + FTT,03131,03131,American Studies,Transportation & Warehousing,,,,,,
40,1,FTF + FTT,03131,03131,American Studies,Information,,,,,,
40,1,FTF + FTT,03131,03131,American Studies,"Professional, Scientific, & Technical Skills",,,,,,
40,1,FTF + FTT,03131,03131,American Studies,Health Care & Social Assistance,,,,,,
40,1,FTF + FTT,03131,03131,American Studies,"Arts, Entertainment, & Recreation",,,,,,
40,1,FTF + FTT,03131,03131,American Studies,Accommodation & Food Services,,,,,,
40,1,FTF + FTT,03131,03131,American Studies,Wages - No NAICS Code,,,,,,
40,1,FTF + FTT,04011,04011,Biology,Construction,,,,,,
40,1,FTF + FTT,04011,04011,Biology,Manufacturing,11,43615,45790,,,
40,1,FTF + FTT,04011,04011,Biology,Wholesale Trade,,,,,,
