Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1028,917,35152,57715,68111,52604,860,1
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1028,780,68703,78883,86905,76294,735,2
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1028,620,69415,81611,90686,79476,587,3
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1028,457,69358,85444,95943,82102,419,4
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1028,311,70400,87812,101638,83991,281,5
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1028,194,62659,85618,100987,81089,171,6
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1028,121,64455,89314,106503,82675,99,7
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1028,62,59593,85252,105633,85243,48,8
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1028,17,68200,86037,97224,84275,12,9
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1028,,,,,,,10
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1028,,,,,,,11
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1028,,,,,,,12
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1028,,,,,,,13
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1028,,,,,,,14
40,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1028,,,,,,,15
40,1,FTF + FTT,02031,02031,Interior Design,124,91,17783,31189,40834,30366,76,1
40,1,FTF + FTT,02031,02031,Interior Design,124,72,32344,43109,49796,43236,56,2
40,1,FTF + FTT,02031,02031,Interior Design,124,50,31398,47601,54103,47087,40,3
40,1,FTF + FTT,02031,02031,Interior Design,124,30,30819,49515,59777,48098,24,4
40,1,FTF + FTT,02031,02031,Interior Design,124,13,28313,53563,73188,56215,10,5
40,1,FTF + FTT,02031,02031,Interior Design,124,3,,,,,3,6
40,1,FTF + FTT,02031,02031,Interior Design,124,,,,,,,7
40,1,FTF + FTT,02031,02031,Interior Design,124,,,,,,,8
40,1,FTF + FTT,02031,02031,Interior Design,124,,,,,,,9
40,1,FTF + FTT,02031,02031,Interior Design,124,,,,,,,10
40,1,FTF + FTT,02031,02031,Interior Design,124,,,,,,,11
40,1,FTF + FTT,02031,02031,Interior Design,124,,,,,,,12
40,1,FTF + FTT,02031,02031,Interior Design,124,,,,,,,13
40,1,FTF + FTT,02031,02031,Interior Design,124,,,,,,,14
40,1,FTF + FTT,02031,02031,Interior Design,124,,,,,,,15
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,82,77,10867,20907,31210,23004,53,1
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,82,62,11914,26731,39539,27521,44,2
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,82,53,15351,34884,51097,36121,35,3
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,82,38,14159,35949,52961,39795,28,4
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,82,30,11983,42799,56860,44823,23,5
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,82,20,25986,40447,55862,46918,16,6
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,82,10,33014,70579,81737,65611,6,7
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,82,4,,,,,3,8
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,82,2,,,,,1,9
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,82,,,,,,,10
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,82,,,,,,,11
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,82,,,,,,,12
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,82,,,,,,,13
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,82,,,,,,,14
40,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,82,,,,,,,15
40,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,26,22,7017,19175,24623,16979,18,1
40,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,26,18,11703,22621,28277,20670,13,2
40,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,26,13,23491,27955,33289,27071,8,3
40,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,26,10,7022,28402,49860,27912,7,4
40,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,26,8,,,,,4,5
40,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,26,4,,,,,2,6
40,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,26,2,,,,,1,7
40,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,26,,,,,,,8
40,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,26,,,,,,,9
40,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,26,,,,,,,10
40,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,26,,,,,,,11
40,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,26,,,,,,,12
40,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,26,,,,,,,13
40,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,26,,,,,,,14
40,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,26,,,,,,,15
40,1,FTF + FTT,03131,03131,American Studies,129,109,9452,21653,31109,22180,86,1
40,1,FTF + FTT,03131,03131,American Studies,129,72,8709,23751,37063,25009,54,2
40,1,FTF + FTT,03131,03131,American Studies,129,53,10018,24256,34236,28257,40,3
40,1,FTF + FTT,03131,03131,American Studies,129,35,14136,29888,41967,29482,26,4
40,1,FTF + FTT,03131,03131,American Studies,129,23,14547,32676,51356,34550,14,5
40,1,FTF + FTT,03131,03131,American Studies,129,12,38195,39765,56816,44758,6,6
40,1,FTF + FTT,03131,03131,American Studies,129,10,34826,45245,59642,44740,6,7
40,1,FTF + FTT,03131,03131,American Studies,129,3,,,,,2,8
40,1,FTF + FTT,03131,03131,American Studies,129,,,,,,,9
40,1,FTF + FTT,03131,03131,American Studies,129,,,,,,,10
40,1,FTF + FTT,03131,03131,American Studies,129,,,,,,,11
40,1,FTF + FTT,03131,03131,American Studies,129,,,,,,,12
40,1,FTF + FTT,03131,03131,American Studies,129,,,,,,,13
40,1,FTF + FTT,03131,03131,American Studies,129,,,,,,,14
40,1,FTF + FTT,03131,03131,American Studies,129,,,,,,,15
40,1,FTF + FTT,04011,04011,Biology,822,681,6752,14790,26375,18239,524,1
40,1,FTF + FTT,04011,04011,Biology,822,530,10619,23921,37561,26159,403,2
40,1,FTF + FTT,04011,04011,Biology,822,372,13269,27631,47391,32561,266,3
40,1,FTF + FTT,04011,04011,Biology,822,264,14493,33857,52011,36250,175,4
40,1,FTF + FTT,04011,04011,Biology,822,156,16024,35991,56971,38198,96,5
40,1,FTF + FTT,04011,04011,Biology,822,92,25608,45582,63629,47887,60,6
40,1,FTF + FTT,04011,04011,Biology,822,47,29193,53493,89792,62852,33,7
40,1,FTF + FTT,04011,04011,Biology,822,14,54905,70519,77970,69840,9,8
40,1,FTF + FTT,04011,04011,Biology,822,4,,,,,2,9
40,1,FTF + FTT,04011,04011,Biology,822,,,,,,,10
40,1,FTF + FTT,04011,04011,Biology,822,,,,,,,11
40,1,FTF + FTT,04011,04011,Biology,822,,,,,,,12
40,1,FTF + FTT,04011,04011,Biology,822,,,,,,,13
40,1,FTF + FTT,04011,04011,Biology,822,,,,,,,14
40,1,FTF + FTT,04011,04011,Biology,822,,,,,,,15
40,1,FTF + FTT,04111,04111,Microbiology,87,73,4585,15512,27336,17748,54,1
40,1,FTF + FTT,04111,04111,Microbiology,87,56,12392,21123,36523,24026,48,2
40,1,FTF + FTT,04111,04111,Microbiology,87,50,16491,32978,58133,40369,43,3
40,1,FTF + FTT,04111,04111,Microbiology,87,34,21615,48200,77326,50656,31,4
40,1,FTF + FTT,04111,04111,Microbiology,87,25,33031,62127,86192,59117,19,5
40,1,FTF + FTT,04111,04111,Microbiology,87,12,36469,51132,70907,50329,10,6
40,1,FTF + FTT,04111,04111,Microbiology,87,7,33952,48758,60148,48633,6,7
40,1,FTF + FTT,04111,04111,Microbiology,87,2,,,,,2,8
40,1,FTF + FTT,04111,04111,Microbiology,87,,,,,,,9
40,1,FTF + FTT,04111,04111,Microbiology,87,,,,,,,10
40,1,FTF + FTT,04111,04111,Microbiology,87,,,,,,,11
40,1,FTF + FTT,04111,04111,Microbiology,87,,,,,,,12
40,1,FTF + FTT,04111,04111,Microbiology,87,,,,,,,13
40,1,FTF + FTT,04111,04111,Microbiology,87,,,,,,,14
40,1,FTF + FTT,04111,04111,Microbiology,87,,,,,,,15
40,1,FTF + FTT,04141,04141,Biochemistry,260,211,9458,19898,30253,20687,167,1
40,1,FTF + FTT,04141,04141,Biochemistry,260,135,14792,30444,43363,30668,102,2
40,1,FTF + FTT,04141,04141,Biochemistry,260,89,13585,35605,52231,37061,62,3
40,1,FTF + FTT,04141,04141,Biochemistry,260,52,27918,42565,60882,46603,36,4
40,1,FTF + FTT,04141,04141,Biochemistry,260,31,32173,56582,70246,56297,21,5
40,1,FTF + FTT,04141,04141,Biochemistry,260,15,47928,58152,85305,64945,9,6
40,1,FTF + FTT,04141,04141,Biochemistry,260,6,,,,,3,7
40,1,FTF + FTT,04141,04141,Biochemistry,260,2,,,,,1,8
40,1,FTF + FTT,04141,04141,Biochemistry,260,,,,,,,9
40,1,FTF + FTT,04141,04141,Biochemistry,260,,,,,,,10
40,1,FTF + FTT,04141,04141,Biochemistry,260,,,,,,,11
40,1,FTF + FTT,04141,04141,Biochemistry,260,,,,,,,12
40,1,FTF + FTT,04141,04141,Biochemistry,260,,,,,,,13
40,1,FTF + FTT,04141,04141,Biochemistry,260,,,,,,,14
40,1,FTF + FTT,04141,04141,Biochemistry,260,,,,,,,15
40,1,FTF + FTT,04181,04181,Marine Biology,116,106,7884,14986,23826,17014,89,1
40,1,FTF + FTT,04181,04181,Marine Biology,116,89,13213,21249,31608,23941,73,2
40,1,FTF + FTT,04181,04181,Marine Biology,116,75,12301,21825,36006,27359,62,3
40,1,FTF + FTT,04181,04181,Marine Biology,116,59,17665,30266,46740,35808,43,4
40,1,FTF + FTT,04181,04181,Marine Biology,116,36,22075,32168,43608,35164,25,5
40,1,FTF + FTT,04181,04181,Marine Biology,116,22,16046,25893,34102,30163,14,6
40,1,FTF + FTT,04181,04181,Marine Biology,116,9,5438,21857,40879,23833,6,7
40,1,FTF + FTT,04181,04181,Marine Biology,116,,,,,,,8
40,1,FTF + FTT,04181,04181,Marine Biology,116,,,,,,,9
40,1,FTF + FTT,04181,04181,Marine Biology,116,,,,,,,10
40,1,FTF + FTT,04181,04181,Marine Biology,116,,,,,,,11
40,1,FTF + FTT,04181,04181,Marine Biology,116,,,,,,,12
40,1,FTF + FTT,04181,04181,Marine Biology,116,,,,,,,13
40,1,FTF + FTT,04181,04181,Marine Biology,116,,,,,,,14
40,1,FTF + FTT,04181,04181,Marine Biology,116,,,,,,,15
40,1,FTF + FTT,05011,05011,Business Administration,304,284,12583,24800,40121,30479,227,1
40,1,FTF + FTT,05011,05011,Business Administration,304,244,18711,34574,49279,38410,191,2
40,1,FTF + FTT,05011,05011,Business Administration,304,198,22891,39039,55514,44578,151,3
40,1,FTF + FTT,05011,05011,Business Administration,304,153,26315,44723,62312,50249,119,4
40,1,FTF + FTT,05011,05011,Business Administration,304,110,31128,48944,67280,57779,85,5
40,1,FTF + FTT,05011,05011,Business Administration,304,68,35273,53889,68979,55960,46,6
40,1,FTF + FTT,05011,05011,Business Administration,304,24,33789,52170,79114,56971,13,7
40,1,FTF + FTT,05011,05011,Business Administration,304,9,,,,,4,8
40,1,FTF + FTT,05011,05011,Business Administration,304,2,,,,,1,9
40,1,FTF + FTT,05011,05011,Business Administration,304,,,,,,,10
40,1,FTF + FTT,05011,05011,Business Administration,304,,,,,,,11
40,1,FTF + FTT,05011,05011,Business Administration,304,,,,,,,12
40,1,FTF + FTT,05011,05011,Business Administration,304,,,,,,,13
40,1,FTF + FTT,05011,05011,Business Administration,304,,,,,,,14
40,1,FTF + FTT,05011,05011,Business Administration,304,,,,,,,15
