Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,Utilities,5,110956,98022,,,
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,Construction,,,,,,
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,Manufacturing,11,42803,46834,7,41737,49034
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,Wholesale Trade,12,62199,67130,5,66726,91383
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,Retail Trade,19,31648,28746,7,32727,28813
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,Transportation & Warehousing,,,,,,
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,Information,7,37079,40292,,,
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,Finance & Insurance,22,53114,52364,13,51113,61922
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,Real Estate & Rental & Leasing,5,26758,28228,,,
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,"Professional, Scientific, & Technical Skills",25,46853,48806,13,43467,62759
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,Management of Companies & Enterprises,,,,,,
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,Admin & Support & Waste Mgmt & Remediation,16,33662,37107,10,24708,23041
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,Educational Services,199,52878,47187,122,66462,59715
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,Health Care & Social Assistance,67,38512,41929,44,39165,40072
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,"Arts, Entertainment, & Recreation",,,,,,
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,Accommodation & Food Services,10,26279,29292,6,36207,68103
