Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,702,693,11430,22262,39135,27725,561,1
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,702,673,16513,30297,48994,33666,561,2
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,702,661,21808,36391,52819,38204,545,3
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,702,643,24244,41937,57834,42760,517,4
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,702,621,28154,45974,61650,45516,498,5
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,702,597,27620,49216,63868,48066,476,6
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,702,570,30140,50816,68261,51081,444,7
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,702,537,34138,52839,70980,54360,402,8
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,702,481,32646,55136,73291,55763,362,9
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,702,419,33258,52854,72941,55054,316,10
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,702,359,31250,52945,74915,55160,273,11
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,702,302,35351,57264,77816,56886,221,12
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,702,269,29444,58536,78158,57929,199,13
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,702,191,31891,60781,80061,60778,137,14
45,1,FTF + FTT,00000,00000,Undeclared/Unknown,702,113,30091,63614,81886,56586,75,15
45,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1143,1074,40817,61492,82707,63636,978,1
45,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1143,1009,70529,83158,98139,83531,916,2
45,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1143,937,72759,85185,102845,86937,849,3
45,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1143,859,72268,87660,103788,87190,774,4
45,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1143,774,74375,90769,108631,90774,692,5
45,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1143,667,74549,93386,111555,92281,589,6
45,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1143,571,72892,94957,117472,94319,509,7
45,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1143,514,78415,97542,119400,98288,453,8
45,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1143,424,80302,99331,122063,100581,379,9
45,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1143,372,76529,100376,124096,100714,333,10
45,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1143,305,78471,100406,123393,99162,271,11
45,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1143,245,74116,100742,122386,97934,218,12
45,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1143,167,77101,108563,133045,102941,145,13
45,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1143,117,80371,107765,131873,103278,101,14
45,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,1143,78,98491,112387,134205,114406,64,15
45,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,21,13,24581,30568,42350,31017,10,1
45,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,21,8,21970,43850,48887,37467,6,2
45,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,21,3,,,,,2,3
45,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,21,2,,,,,2,4
45,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,21,,,,,,,5
45,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,21,,,,,,,6
45,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,21,,,,,,,7
45,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,21,,,,,,,8
45,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,21,,,,,,,9
45,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,21,,,,,,,10
45,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,21,,,,,,,11
45,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,21,,,,,,,12
45,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,21,,,,,,,13
45,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,21,,,,,,,14
45,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,21,,,,,,,15
45,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,74,68,14664,27899,43878,30690,62,1
45,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,74,65,20222,40284,50357,38269,57,2
45,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,74,60,19646,37293,50182,37919,49,3
45,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,74,57,19368,34203,53548,38233,49,4
45,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,74,55,19193,35672,63476,40979,48,5
45,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,74,50,18450,40629,59918,41790,42,6
45,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,74,47,18400,35807,61818,39906,38,7
45,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,74,45,21953,37476,63903,43536,35,8
45,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,74,40,17887,37843,63612,38953,35,9
45,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,74,35,19769,40296,63050,42242,31,10
45,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,74,31,14177,38837,70172,41931,27,11
45,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,74,25,21828,47699,74738,48150,22,12
45,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,74,22,26903,51684,76008,53024,18,13
45,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,74,17,34814,64151,79686,64060,12,14
