Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,"Professional, Scientific, & Technical Skills",,,,,,
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,Educational Services,9,102907,105963,,,
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,Health Care & Social Assistance,32,117778,111853,,,
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,Government,10,109738,111553,,,
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,Wages - No NAICS Code,,,,,,
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,Retail Trade,,,,,,
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,Real Estate & Rental & Leasing,,,,,,
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,Educational Services,,,,,,
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,Health Care & Social Assistance,,,,,,
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,Other Services,,,,,,
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,Wages - No NAICS Code,,,,,,
70,1,FTF + FTT,04011,04011,Biology,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
70,1,FTF + FTT,04011,04011,Biology,Mining,,,,,,
70,1,FTF + FTT,04011,04011,Biology,Utilities,,,,,,
70,1,FTF + FTT,04011,04011,Biology,Construction,6,26802,38392,,,
70,1,FTF + FTT,04011,04011,Biology,Manufacturing,76,58025,62960,40,85807,87250
70,1,FTF + FTT,04011,04011,Biology,Wholesale Trade,21,61011,68762,8,66273,81093
70,1,FTF + FTT,04011,04011,Biology,Retail Trade,81,27313,37308,24,59504,79284
70,1,FTF + FTT,04011,04011,Biology,Transportation & Warehousing,5,35868,43757,,,
70,1,FTF + FTT,04011,04011,Biology,Information,8,38605,51936,5,2951,29610
70,1,FTF + FTT,04011,04011,Biology,Finance & Insurance,24,53994,54717,7,71312,67507
70,1,FTF + FTT,04011,04011,Biology,Real Estate & Rental & Leasing,,,,,,
70,1,FTF + FTT,04011,04011,Biology,"Professional, Scientific, & Technical Skills",40,43109,45307,17,55313,58367
70,1,FTF + FTT,04011,04011,Biology,Management of Companies & Enterprises,,,,,,
70,1,FTF + FTT,04011,04011,Biology,Admin & Support & Waste Mgmt & Remediation,25,42249,51377,9,61988,66439
70,1,FTF + FTT,04011,04011,Biology,Educational Services,65,51722,48212,41,64809,57187
70,1,FTF + FTT,04011,04011,Biology,Health Care & Social Assistance,152,41804,46095,81,56486,80753
70,1,FTF + FTT,04011,04011,Biology,"Arts, Entertainment, & Recreation",,,,5,33093,51404
70,1,FTF + FTT,04011,04011,Biology,Accommodation & Food Services,12,16758,20624,,,
70,1,FTF + FTT,04011,04011,Biology,Other Services,11,39181,34640,5,56248,53707
70,1,FTF + FTT,04011,04011,Biology,Non-Classified,5,44828,47664,,,
70,1,FTF + FTT,04011,04011,Biology,Government,28,57879,55254,26,82762,83486
70,1,FTF + FTT,04011,04011,Biology,Wages - No NAICS Code,39,5438,11390,13,9674,41652
70,1,FTF + FTT,04111,04111,Microbiology,Utilities,,,,,,
70,1,FTF + FTT,04111,04111,Microbiology,Manufacturing,20,73925,72007,14,85615,87404
70,1,FTF + FTT,04111,04111,Microbiology,Retail Trade,,,,,,
70,1,FTF + FTT,04111,04111,Microbiology,Transportation & Warehousing,,,,,,
70,1,FTF + FTT,04111,04111,Microbiology,Information,,,,,,
70,1,FTF + FTT,04111,04111,Microbiology,Finance & Insurance,,,,,,
70,1,FTF + FTT,04111,04111,Microbiology,Real Estate & Rental & Leasing,,,,,,
70,1,FTF + FTT,04111,04111,Microbiology,"Professional, Scientific, & Technical Skills",6,57443,53031,,,
70,1,FTF + FTT,04111,04111,Microbiology,Management of Companies & Enterprises,,,,,,
70,1,FTF + FTT,04111,04111,Microbiology,Admin & Support & Waste Mgmt & Remediation,,,,,,
70,1,FTF + FTT,04111,04111,Microbiology,Health Care & Social Assistance,8,47154,50047,,,
70,1,FTF + FTT,04111,04111,Microbiology,"Arts, Entertainment, & Recreation",,,,,,
70,1,FTF + FTT,04111,04111,Microbiology,Other Services,,,,,,
70,1,FTF + FTT,04111,04111,Microbiology,Government,6,66158,63351,6,83576,89011
70,1,FTF + FTT,04111,04111,Microbiology,Wages - No NAICS Code,,,,,,
70,1,FTF + FTT,04141,04141,Biochemistry,Construction,,,,,,
70,1,FTF + FTT,04141,04141,Biochemistry,Manufacturing,16,58125,60832,9,65981,74308
70,1,FTF + FTT,04141,04141,Biochemistry,Wholesale Trade,,,,,,
70,1,FTF + FTT,04141,04141,Biochemistry,Retail Trade,,,,,,
70,1,FTF + FTT,04141,04141,Biochemistry,Finance & Insurance,,,,,,
70,1,FTF + FTT,04141,04141,Biochemistry,"Professional, Scientific, & Technical Skills",6,45594,44809,,,
70,1,FTF + FTT,04141,04141,Biochemistry,Admin & Support & Waste Mgmt & Remediation,5,30083,42281,,,
70,1,FTF + FTT,04141,04141,Biochemistry,Educational Services,9,43371,33659,,,
70,1,FTF + FTT,04141,04141,Biochemistry,Health Care & Social Assistance,13,46340,48439,,,
70,1,FTF + FTT,04141,04141,Biochemistry,Accommodation & Food Services,,,,,,
70,1,FTF + FTT,04141,04141,Biochemistry,Other Services,,,,,,
70,1,FTF + FTT,04141,04141,Biochemistry,Government,,,,,,
70,1,FTF + FTT,04141,04141,Biochemistry,Wages - No NAICS Code,,,,,,
70,1,FTF + FTT,04152,04152,Biomedical Physics,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
70,1,FTF + FTT,04152,04152,Biomedical Physics,Manufacturing,,,,,,
70,1,FTF + FTT,04152,04152,Biomedical Physics,Transportation & Warehousing,,,,,,
70,1,FTF + FTT,04152,04152,Biomedical Physics,Finance & Insurance,,,,,,
70,1,FTF + FTT,04152,04152,Biomedical Physics,Educational Services,,,,,,
70,1,FTF + FTT,04152,04152,Biomedical Physics,Health Care & Social Assistance,,,,,,
70,1,FTF + FTT,04152,04152,Biomedical Physics,Government,,,,,,
70,1,FTF + FTT,04152,04152,Biomedical Physics,Wages - No NAICS Code,,,,,,
70,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Construction,,,,,,
70,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Manufacturing,24,60365,60855,5,102392,101941
70,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Wholesale Trade,,,,,,
70,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Retail Trade,5,19106,24372,,,
70,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Information,,,,,,
70,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Finance & Insurance,,,,,,
70,1,FTF + FTT,04171,04171,Cell and Molecular Biology,"Professional, Scientific, & Technical Skills",7,55567,53519,,,
70,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Management of Companies & Enterprises,,,,,,
70,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Admin & Support & Waste Mgmt & Remediation,,,,,,
70,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Educational Services,8,50192,40553,5,63056,74852
70,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Health Care & Social Assistance,20,48565,48446,11,97484,97946
70,1,FTF + FTT,04171,04171,Cell and Molecular Biology,"Arts, Entertainment, & Recreation",,,,,,
70,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Accommodation & Food Services,,,,,,
70,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Other Services,,,,,,
70,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Government,6,52536,59240,9,62931,66935
70,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Wages - No NAICS Code,6,4343,14681,,,
70,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Manufacturing,,,,,,
70,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Retail Trade,,,,,,
70,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Finance & Insurance,,,,,,
70,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,"Professional, Scientific, & Technical Skills",13,38316,43226,,,
70,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Educational Services,7,51740,46333,,,
70,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Health Care & Social Assistance,,,,,,
70,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,"Arts, Entertainment, & Recreation",,,,,,
70,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Accommodation & Food Services,,,,,,
70,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Other Services,,,,,,
70,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Government,,,,,,
70,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Wages - No NAICS Code,5,2256,6853,,,
70,1,FTF + FTT,05011,05011,Business Administration,Utilities,,,,,,
70,1,FTF + FTT,05011,05011,Business Administration,Construction,15,65328,58876,8,60453,113730
70,1,FTF + FTT,05011,05011,Business Administration,Manufacturing,27,58597,58778,10,75663,83036
70,1,FTF + FTT,05011,05011,Business Administration,Wholesale Trade,22,48258,52231,8,103926,113587
70,1,FTF + FTT,05011,05011,Business Administration,Retail Trade,38,50987,52094,11,52935,72247
70,1,FTF + FTT,05011,05011,Business Administration,Transportation & Warehousing,,,,,,
70,1,FTF + FTT,05011,05011,Business Administration,Information,30,65310,61782,8,76393,88131
70,1,FTF + FTT,05011,05011,Business Administration,Finance & Insurance,106,60990,60404,46,79736,80539
70,1,FTF + FTT,05011,05011,Business Administration,Real Estate & Rental & Leasing,15,51568,54770,6,49760,50542
70,1,FTF + FTT,05011,05011,Business Administration,"Professional, Scientific, & Technical Skills",105,46042,45602,24,81125,88118
70,1,FTF + FTT,05011,05011,Business Administration,Management of Companies & Enterprises,,,,,,
70,1,FTF + FTT,05011,05011,Business Administration,Admin & Support & Waste Mgmt & Remediation,29,40167,40769,7,62937,68099
70,1,FTF + FTT,05011,05011,Business Administration,Educational Services,24,40224,38176,9,60646,60176
70,1,FTF + FTT,05011,05011,Business Administration,Health Care & Social Assistance,18,43546,49468,7,84055,70973
