Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,161,156,77372,92514,105457,91860,144,1
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,161,125,76932,95454,115529,94832,111,2
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,161,101,80602,97760,117728,95946,92,3
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,161,76,80417,99970,124608,100275,72,4
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,161,57,91319,106260,132826,107679,54,5
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,161,38,92674,107390,138558,113077,36,6
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,161,21,73234,100586,123686,95530,20,7
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,161,10,76458,98758,128965,100207,8,8
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,161,1,,,,,1,9
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,161,,,,,,,10
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,161,,,,,,,11
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,161,,,,,,,12
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,161,,,,,,,13
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,161,,,,,,,14
70,1,FTF + FTT,00121 + 12032,12032,Pre-Nursing & Nursing RN-BS,161,,,,,,,15
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,26,25,7270,13866,23924,15557,22,1
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,26,20,14512,17887,24881,20219,18,2
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,26,17,19355,25575,35280,25822,17,3
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,26,11,10788,33643,38432,26380,11,4
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,26,8,16870,35385,52158,33404,7,5
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,26,7,5090,35001,44061,37756,6,6
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,26,2,,,,,2,7
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,26,1,,,,,,8
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,26,,,,,,,9
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,26,,,,,,,10
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,26,,,,,,,11
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,26,,,,,,,12
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,26,,,,,,,13
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,26,,,,,,,14
70,1,FTF + FTT,03085,03085,Latin/Central American Studies,26,,,,,,,15
70,1,FTF + FTT,04011,04011,Biology,1475,1391,9330,19498,34186,23962,1040,1
70,1,FTF + FTT,04011,04011,Biology,1475,1245,12167,26053,44388,30312,921,2
70,1,FTF + FTT,04011,04011,Biology,1475,1117,15586,33015,50899,36366,775,3
70,1,FTF + FTT,04011,04011,Biology,1475,992,17498,38824,57005,39909,681,4
70,1,FTF + FTT,04011,04011,Biology,1475,895,19804,44509,63048,46043,608,5
70,1,FTF + FTT,04011,04011,Biology,1475,788,24759,47366,68626,50881,531,6
70,1,FTF + FTT,04011,04011,Biology,1475,712,26280,51643,74757,54722,486,7
70,1,FTF + FTT,04011,04011,Biology,1475,623,30419,56364,82357,60241,410,8
70,1,FTF + FTT,04011,04011,Biology,1475,548,34851,61758,83547,65770,363,9
