Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,"Agriculture, Forestry, Fishing, & Hunting",11,61710,59535,7,60951,55978
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Utilities,,,,,,
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Construction,,,,,,
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Manufacturing,,,,,,
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Wholesale Trade,6,81594,88832,,,
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Retail Trade,,,,,,
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Transportation & Warehousing,,,,,,
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Information,,,,,,
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Finance & Insurance,,,,,,
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Real Estate & Rental & Leasing,,,,,,
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,"Professional, Scientific, & Technical Skills",7,52168,54815,5,52321,58482
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Admin & Support & Waste Mgmt & Remediation,18,58693,60536,7,76673,67225
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Educational Services,12,66017,65147,5,72497,71480
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Health Care & Social Assistance,,,,,,
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,"Arts, Entertainment, & Recreation",19,71407,72309,10,88443,100006
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Accommodation & Food Services,,,,,,
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Other Services,,,,,,
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Government,21,55293,57177,12,68920,73905
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,Wages - No NAICS Code,11,36922,38012,6,36987,37066
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,Utilities,,,,,,
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,Construction,,,,,,
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,Manufacturing,17,58312,58372,,,
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,Wholesale Trade,10,80626,78187,13,88153,71225
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,Retail Trade,16,25944,31864,9,40522,42801
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,Transportation & Warehousing,,,,,,
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,Information,,,,,,
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,Finance & Insurance,13,43868,39495,,,
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,Real Estate & Rental & Leasing,,,,,,
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"Professional, Scientific, & Technical Skills",169,35273,36775,48,45083,51292
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,Admin & Support & Waste Mgmt & Remediation,6,53484,48982,,,
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,Educational Services,25,44543,43293,13,54464,46849
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,Health Care & Social Assistance,18,38292,39300,9,35380,45930
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"Arts, Entertainment, & Recreation",13,30351,32120,7,38398,40845
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,Accommodation & Food Services,13,36803,28582,,,
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,Other Services,14,35783,36460,,,
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,Government,25,46774,48062,17,59232,53202
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,Wages - No NAICS Code,22,11782,15274,9,14274,25055
10,1,FTF + FTT,01121,01121,Agricultural Business,"Agriculture, Forestry, Fishing, & Hunting",8,50711,44647,,,
10,1,FTF + FTT,01121,01121,Agricultural Business,Construction,,,,,,
10,1,FTF + FTT,01121,01121,Agricultural Business,Manufacturing,10,53821,56339,,,
10,1,FTF + FTT,01121,01121,Agricultural Business,Wholesale Trade,15,68965,64842,,,
10,1,FTF + FTT,01121,01121,Agricultural Business,Retail Trade,9,33146,46545,,,
10,1,FTF + FTT,01121,01121,Agricultural Business,Transportation & Warehousing,5,49861,60395,,,
10,1,FTF + FTT,01121,01121,Agricultural Business,Information,,,,,,
10,1,FTF + FTT,01121,01121,Agricultural Business,Finance & Insurance,,,,,,
10,1,FTF + FTT,01121,01121,Agricultural Business,Real Estate & Rental & Leasing,,,,,,
10,1,FTF + FTT,01121,01121,Agricultural Business,"Professional, Scientific, & Technical Skills",13,49734,43506,,,
10,1,FTF + FTT,01121,01121,Agricultural Business,Management of Companies & Enterprises,,,,,,
10,1,FTF + FTT,01121,01121,Agricultural Business,Admin & Support & Waste Mgmt & Remediation,,,,,,
10,1,FTF + FTT,01121,01121,Agricultural Business,Educational Services,,,,,,
10,1,FTF + FTT,01121,01121,Agricultural Business,Health Care & Social Assistance,5,55704,53122,,,
10,1,FTF + FTT,01121,01121,Agricultural Business,"Arts, Entertainment, & Recreation",6,42191,36612,,,
10,1,FTF + FTT,01121,01121,Agricultural Business,Accommodation & Food Services,,,,,,
10,1,FTF + FTT,01121,01121,Agricultural Business,Other Services,,,,,,
10,1,FTF + FTT,01121,01121,Agricultural Business,Government,10,53717,53668,,,
10,1,FTF + FTT,01121,01121,Agricultural Business,Wages - No NAICS Code,6,23858,28010,,,
10,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,Manufacturing,14,54045,51231,,,
10,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,Wholesale Trade,5,58524,63538,,,
10,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,Retail Trade,,,,,,
10,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,Transportation & Warehousing,,,,,,
10,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,Information,,,,,,
10,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,"Professional, Scientific, & Technical Skills",,,,,,
10,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,Admin & Support & Waste Mgmt & Remediation,,,,,,
10,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,Educational Services,,,,,,
10,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,Accommodation & Food Services,,,,,,
10,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,Government,,,,,,
