Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,198,17401,32823,48959,34571,151,1
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,186,27869,41694,56084,42696,147,2
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,180,32979,50268,61217,47998,139,3
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,171,34234,52095,68904,52538,130,4
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,167,40559,57868,73104,57924,123,5
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,157,44576,61302,75604,61203,113,6
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,144,51107,63387,75911,64230,94,7
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,130,45186,65461,79883,65999,84,8
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,115,47430,66467,80697,65391,77,9
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,95,43464,62860,82379,65079,64,10
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,90,45728,68848,85472,66735,60,11
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,84,45681,73445,86451,67827,53,12
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,65,54600,71091,88976,74444,36,13
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,53,44925,68727,87233,72049,32,14
10,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,224,33,30985,75780,97806,80791,21,15
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,958,871,12536,21818,30878,22778,743,1
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,958,779,17235,28758,39417,29592,625,2
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,958,688,19122,31345,42625,32289,531,3
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,958,598,22638,34768,45497,35906,453,4
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,958,513,24677,37079,47810,38729,375,5
10,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,958,444,24572,38624,52244,40656,320,6
