Campus,Location,Student Path,Entry Stat,HEGIS at ExitOLD,HEGIS at Exit,Major,industry,# of Students Found,Median Annual Earnings,Average Annual Earnings,# of Students Found,Median Annual Earnings,Average Annual Earnings
55,Dominguez Hills,1,FTF + FTT,0,0,Undeclared/Unknown,Information,,,,,,
55,Dominguez Hills,1,FTF + FTT,0,0,Undeclared/Unknown,"Professional, Scientific, & Technical Skills",,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Construction,,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Manufacturing,,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Wholesale Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Retail Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Information,,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Finance & Insurance,11,"$99,533 ","$106,297 ",6,"$77,953 ","$68,703 "
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"Professional, Scientific, & Technical Skills",,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Management of Companies & Enterprises,,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Admin & Support & Waste Mgmt & Remediation,16,"$43,081 ","$45,659 ",,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Educational Services,57,"$77,852 ","$85,069 ",36,"$95,362 ","$93,451 "
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Health Care & Social Assistance,526,"$106,422 ","$105,364 ",222,"$112,259 ","$113,936 "
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Accommodation & Food Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Non-Classified,,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Government,106,"$103,364 ","$110,796 ",57,"$111,988 ","$110,617 "
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,No Wages,814,,,"1,216",,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,Wages - No NAICS Code,18,"$84,645 ","$95,010 ",9,"$66,527 ","$95,797 "
55,Dominguez Hills,1,FTF + FTT,4011,4011,Biology,Utilities,,,,,,
55,Dominguez Hills,1,FTF + FTT,4011,4011,Biology,Manufacturing,23,"$57,189 ","$62,088 ",14,"$69,093 ","$65,756 "
55,Dominguez Hills,1,FTF + FTT,4011,4011,Biology,Wholesale Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,4011,4011,Biology,Retail Trade,12,"$33,152 ","$43,510 ",5,"$40,097 ","$74,387 "
55,Dominguez Hills,1,FTF + FTT,4011,4011,Biology,Transportation & Warehousing,,,,,,
55,Dominguez Hills,1,FTF + FTT,4011,4011,Biology,Finance & Insurance,,,,,,
55,Dominguez Hills,1,FTF + FTT,4011,4011,Biology,Real Estate & Rental & Leasing,,,,,,
55,Dominguez Hills,1,FTF + FTT,4011,4011,Biology,"Professional, Scientific, & Technical Skills",12,"$44,677 ","$49,165 ",5,"$80,269 ","$77,875 "
55,Dominguez Hills,1,FTF + FTT,4011,4011,Biology,Admin & Support & Waste Mgmt & Remediation,6,"$16,295 ","$32,469 ",5,"$81,566 ","$103,617 "
55,Dominguez Hills,1,FTF + FTT,4011,4011,Biology,Educational Services,26,"$45,863 ","$39,895 ",13,"$58,001 ","$54,441 "
55,Dominguez Hills,1,FTF + FTT,4011,4011,Biology,Health Care & Social Assistance,29,"$63,729 ","$63,692 ",16,"$82,210 ","$98,870 "
55,Dominguez Hills,1,FTF + FTT,4011,4011,Biology,"Arts, Entertainment, & Recreation",,,,,,
55,Dominguez Hills,1,FTF + FTT,4011,4011,Biology,Accommodation & Food Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,4011,4011,Biology,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,4011,4011,Biology,Government,14,"$65,497 ","$58,058 ",12,"$77,166 ","$84,435 "
55,Dominguez Hills,1,FTF + FTT,4011,4011,Biology,No Wages,308,,,376,,
55,Dominguez Hills,1,FTF + FTT,4011,4011,Biology,Wages - No NAICS Code,12,"$14,859 ","$24,761 ",5,"$19,878 ","$40,930 "
55,Dominguez Hills,1,FTF + FTT,4141,4141,Biochemistry,Manufacturing,,,,,,
55,Dominguez Hills,1,FTF + FTT,4141,4141,Biochemistry,Retail Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,4141,4141,Biochemistry,"Professional, Scientific, & Technical Skills",,,,,,
55,Dominguez Hills,1,FTF + FTT,4141,4141,Biochemistry,Admin & Support & Waste Mgmt & Remediation,,,,,,
55,Dominguez Hills,1,FTF + FTT,4141,4141,Biochemistry,Educational Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,4141,4141,Biochemistry,Health Care & Social Assistance,,,,,,
55,Dominguez Hills,1,FTF + FTT,4141,4141,Biochemistry,No Wages,40,,,46,,
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,Mining,,,,,,
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,Utilities,19,"$71,676 ","$60,776 ",17,"$93,507 ","$92,533 "
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,Construction,47,"$57,606 ","$56,708 ",26,"$66,028 ","$71,343 "
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,Manufacturing,180,"$59,152 ","$62,030 ",95,"$75,920 ","$80,176 "
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,Wholesale Trade,155,"$50,822 ","$53,717 ",66,"$60,004 ","$67,468 "
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,Retail Trade,205,"$43,940 ","$49,063 ",62,"$56,280 ","$74,966 "
