Campus,Location,Student Path,Entry Stat,HEGIS At ExitOLD,HEGIS At Exit,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year
55,Dominguez Hills,1,FTF + FTT,0,0,Undeclared/Unknown,1,1,,,,,1,1
55,Dominguez Hills,1,FTF + FTT,0,0,Undeclared/Unknown,1,1,,,,,1,2
55,Dominguez Hills,1,FTF + FTT,0,0,Undeclared/Unknown,1,1,,,,,1,3
55,Dominguez Hills,1,FTF + FTT,0,0,Undeclared/Unknown,1,1,,,,,1,4
55,Dominguez Hills,1,FTF + FTT,0,0,Undeclared/Unknown,1,1,,,,,1,5
55,Dominguez Hills,1,FTF + FTT,0,0,Undeclared/Unknown,1,1,,,,,1,6
55,Dominguez Hills,1,FTF + FTT,0,0,Undeclared/Unknown,1,1,,,,,1,7
55,Dominguez Hills,1,FTF + FTT,0,0,Undeclared/Unknown,1,1,,,,,1,8
55,Dominguez Hills,1,FTF + FTT,0,0,Undeclared/Unknown,1,1,,,,,1,9
55,Dominguez Hills,1,FTF + FTT,0,0,Undeclared/Unknown,1,1,,,,,1,10
55,Dominguez Hills,1,FTF + FTT,0,0,Undeclared/Unknown,1,1,,,,,1,11
55,Dominguez Hills,1,FTF + FTT,0,0,Undeclared/Unknown,1,1,,,,,1,12
55,Dominguez Hills,1,FTF + FTT,0,0,Undeclared/Unknown,1,,,,,,,13
55,Dominguez Hills,1,FTF + FTT,0,0,Undeclared/Unknown,1,,,,,,,14
55,Dominguez Hills,1,FTF + FTT,0,0,Undeclared/Unknown,1,,,,,,,15
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,559","1,464","$69,921 ","$89,863 ","$112,027 ","$91,237 ","1,371",1
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,559","1,309","$73,190 ","$94,842 ","$115,797 ","$95,235 ","1,208",2
