Campus,Location,Student Path,Entry Stat,HEGIS at Exit,Industry,# of Students Found 5 years after exit,Median Annual Earnings 5 years after exit,Average Annual Earnings 5 years after exit,# of Students Found 10 years after exit,Median Annual Earnings 10 years after exit,Average Annual Earnings 10 years after exit
55,Dominguez Hills,1,FTF + FTT,00000,Information,,,,,,
55,Dominguez Hills,1,FTF + FTT,00000,"Professional, Scientific, & Technical Skills",,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,Construction,,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,Manufacturing,,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,Wholesale Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,Retail Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,Information,,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,Finance & Insurance,11,"$99,533","$106,297",6,"$77,953","$68,703"
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,"Professional, Scientific, & Technical Skills",,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,Management of Companies & Enterprises,,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,Admin & Support & Waste Mgmt & Remediation,16,"$43,081","$45,659",,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,Educational Services,57,"$77,852","$85,069",36,"$95,362","$93,451"
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,Health Care & Social Assistance,526,"$106,422","$105,364",222,"$112,259","$113,936"
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,Accommodation & Food Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,Non-Classified,,,,,,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,Government,106,"$103,364","$110,796",57,"$111,988","$110,617"
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,No Wages,814,,,"1,216",,
55,Dominguez Hills,1,FTF + FTT,00121 + 12031 + 12032,Wages - No NAICS Code,18,"$84,645","$95,010",9,"$66,527","$95,797"
55,Dominguez Hills,1,FTF + FTT,04011,Utilities,,,,,,
55,Dominguez Hills,1,FTF + FTT,04011,Manufacturing,23,"$57,189","$62,088",14,"$69,093","$65,756"
55,Dominguez Hills,1,FTF + FTT,04011,Wholesale Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,04011,Retail Trade,12,"$33,152","$43,510",5,"$40,097","$74,387"
55,Dominguez Hills,1,FTF + FTT,04011,Transportation & Warehousing,,,,,,
55,Dominguez Hills,1,FTF + FTT,04011,Finance & Insurance,,,,,,
55,Dominguez Hills,1,FTF + FTT,04011,Real Estate & Rental & Leasing,,,,,,
55,Dominguez Hills,1,FTF + FTT,04011,"Professional, Scientific, & Technical Skills",12,"$44,677","$49,165",5,"$80,269","$77,875"
55,Dominguez Hills,1,FTF + FTT,04011,Admin & Support & Waste Mgmt & Remediation,6,"$16,295","$32,469",5,"$81,566","$103,617"
55,Dominguez Hills,1,FTF + FTT,04011,Educational Services,26,"$45,863","$39,895",13,"$58,001","$54,441"
55,Dominguez Hills,1,FTF + FTT,04011,Health Care & Social Assistance,29,"$63,729","$63,692",16,"$82,210","$98,870"
55,Dominguez Hills,1,FTF + FTT,04011,"Arts, Entertainment, & Recreation",,,,,,
55,Dominguez Hills,1,FTF + FTT,04011,Accommodation & Food Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,04011,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,04011,Government,14,"$65,497","$58,058",12,"$77,166","$84,435"
55,Dominguez Hills,1,FTF + FTT,04011,No Wages,308,,,376,,
55,Dominguez Hills,1,FTF + FTT,04011,Wages - No NAICS Code,12,"$14,859","$24,761",5,"$19,878","$40,930"
55,Dominguez Hills,1,FTF + FTT,04141,Manufacturing,,,,,,
55,Dominguez Hills,1,FTF + FTT,04141,Retail Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,04141,"Professional, Scientific, & Technical Skills",,,,,,
55,Dominguez Hills,1,FTF + FTT,04141,Admin & Support & Waste Mgmt & Remediation,,,,,,
55,Dominguez Hills,1,FTF + FTT,04141,Educational Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,04141,Health Care & Social Assistance,,,,,,
55,Dominguez Hills,1,FTF + FTT,04141,No Wages,40,,,46,,
55,Dominguez Hills,1,FTF + FTT,05011,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
55,Dominguez Hills,1,FTF + FTT,05011,Mining,,,,,,
55,Dominguez Hills,1,FTF + FTT,05011,Utilities,19,"$71,676","$60,776",17,"$93,507","$92,533"
55,Dominguez Hills,1,FTF + FTT,05011,Construction,47,"$57,606","$56,708",26,"$66,028","$71,343"
55,Dominguez Hills,1,FTF + FTT,05011,Manufacturing,180,"$59,152","$62,030",95,"$75,920","$80,176"
55,Dominguez Hills,1,FTF + FTT,05011,Wholesale Trade,155,"$50,822","$53,717",66,"$60,004","$67,468"
55,Dominguez Hills,1,FTF + FTT,05011,Retail Trade,205,"$43,940","$49,063",62,"$56,280","$74,966"
55,Dominguez Hills,1,FTF + FTT,05011,Transportation & Warehousing,141,"$51,323","$54,102",70,"$62,460","$68,891"
55,Dominguez Hills,1,FTF + FTT,05011,Information,85,"$60,067","$64,433",33,"$68,469","$74,210"
55,Dominguez Hills,1,FTF + FTT,05011,Finance & Insurance,225,"$55,868","$59,154",117,"$65,189","$73,026"
55,Dominguez Hills,1,FTF + FTT,05011,Real Estate & Rental & Leasing,87,"$51,045","$55,004",32,"$66,910","$71,281"
55,Dominguez Hills,1,FTF + FTT,05011,"Professional, Scientific, & Technical Skills",247,"$53,750","$55,920",119,"$62,123","$71,707"
55,Dominguez Hills,1,FTF + FTT,05011,Management of Companies & Enterprises,10,"$63,424","$58,250",8,"$78,235","$67,482"
55,Dominguez Hills,1,FTF + FTT,05011,Admin & Support & Waste Mgmt & Remediation,165,"$38,109","$43,812",54,"$40,477","$48,245"
55,Dominguez Hills,1,FTF + FTT,05011,Educational Services,164,"$47,921","$48,601",83,"$53,670","$51,412"
55,Dominguez Hills,1,FTF + FTT,05011,Health Care & Social Assistance,122,"$47,456","$50,298",73,"$54,633","$61,365"
55,Dominguez Hills,1,FTF + FTT,05011,"Arts, Entertainment, & Recreation",23,"$39,848","$57,321",10,"$37,617","$35,561"
55,Dominguez Hills,1,FTF + FTT,05011,Accommodation & Food Services,83,"$34,975","$36,631",25,"$43,189","$46,617"
55,Dominguez Hills,1,FTF + FTT,05011,Other Services,49,"$51,648","$51,043",25,"$66,007","$66,799"
55,Dominguez Hills,1,FTF + FTT,05011,Non-Classified,,,,,,
55,Dominguez Hills,1,FTF + FTT,05011,Government,184,"$63,435","$65,321",111,"$76,961","$78,462"
55,Dominguez Hills,1,FTF + FTT,05011,No Wages,"2,529",,,"3,760",,
55,Dominguez Hills,1,FTF + FTT,05011,Wages - No NAICS Code,125,"$31,087","$43,019",58,"$55,118","$58,897"
55,Dominguez Hills,1,FTF + FTT,05041,Information,,,,,,
55,Dominguez Hills,1,FTF + FTT,05082 + 05083,Retail Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,05082 + 05083,Transportation & Warehousing,,,,,,
55,Dominguez Hills,1,FTF + FTT,05082 + 05083,Finance & Insurance,,,,,,
55,Dominguez Hills,1,FTF + FTT,05082 + 05083,Educational Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,05082 + 05083,Health Care & Social Assistance,,,,,,
55,Dominguez Hills,1,FTF + FTT,05082 + 05083,Accommodation & Food Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,05082 + 05083,Government,,,,,,
55,Dominguez Hills,1,FTF + FTT,05082 + 05083,No Wages,,,,,,
55,Dominguez Hills,1,FTF + FTT,05082 + 05083,Wages - No NAICS Code,,,,,,
55,Dominguez Hills,1,FTF + FTT,05131,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,05131,No Wages,,,,,,
55,Dominguez Hills,1,FTF + FTT,06011,Utilities,5,"$60,140","$63,611",,,
55,Dominguez Hills,1,FTF + FTT,06011,Construction,5,"$41,552","$39,438",,,
55,Dominguez Hills,1,FTF + FTT,06011,Manufacturing,26,"$49,790","$54,477",13,"$51,117","$54,690"
55,Dominguez Hills,1,FTF + FTT,06011,Wholesale Trade,20,"$39,058","$48,132",12,"$71,147","$71,246"
55,Dominguez Hills,1,FTF + FTT,06011,Retail Trade,35,"$30,184","$36,333",15,"$51,032","$49,329"
55,Dominguez Hills,1,FTF + FTT,06011,Transportation & Warehousing,12,"$25,256","$36,430",6,"$76,616","$108,123"
55,Dominguez Hills,1,FTF + FTT,06011,Information,43,"$44,696","$52,347",21,"$78,002","$74,416"
55,Dominguez Hills,1,FTF + FTT,06011,Finance & Insurance,29,"$47,447","$46,889",11,"$70,418","$66,210"
55,Dominguez Hills,1,FTF + FTT,06011,Real Estate & Rental & Leasing,12,"$36,518","$39,512",,,
55,Dominguez Hills,1,FTF + FTT,06011,"Professional, Scientific, & Technical Skills",51,"$45,165","$46,899",24,"$55,408","$59,744"
55,Dominguez Hills,1,FTF + FTT,06011,Management of Companies & Enterprises,,,,,,
55,Dominguez Hills,1,FTF + FTT,06011,Admin & Support & Waste Mgmt & Remediation,45,"$33,959","$36,495",18,"$43,942","$41,895"
55,Dominguez Hills,1,FTF + FTT,06011,Educational Services,47,"$38,284","$35,565",27,"$47,880","$44,828"
55,Dominguez Hills,1,FTF + FTT,06011,Health Care & Social Assistance,33,"$46,549","$44,327",16,"$29,640","$36,143"
55,Dominguez Hills,1,FTF + FTT,06011,"Arts, Entertainment, & Recreation",12,"$38,374","$38,931",5,"$64,882","$48,681"
55,Dominguez Hills,1,FTF + FTT,06011,Accommodation & Food Services,22,"$27,585","$26,750",7,"$37,208","$33,804"
55,Dominguez Hills,1,FTF + FTT,06011,Other Services,16,"$28,352","$33,642",,,
55,Dominguez Hills,1,FTF + FTT,06011,Non-Classified,,,,,,
55,Dominguez Hills,1,FTF + FTT,06011,Government,31,"$59,110","$58,529",21,"$59,831","$67,396"
55,Dominguez Hills,1,FTF + FTT,06011,No Wages,608,,,859,,
55,Dominguez Hills,1,FTF + FTT,06011,Wages - No NAICS Code,27,"$7,539","$19,245",14,"$23,514","$31,268"
55,Dominguez Hills,1,FTF + FTT,06991,Construction,,,,,,
55,Dominguez Hills,1,FTF + FTT,06991,Manufacturing,9,"$43,701","$43,897",,,
55,Dominguez Hills,1,FTF + FTT,06991,Wholesale Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,06991,Retail Trade,19,"$16,106","$23,340",,,
55,Dominguez Hills,1,FTF + FTT,06991,Transportation & Warehousing,,,,,,
55,Dominguez Hills,1,FTF + FTT,06991,Information,23,"$39,630","$38,863",,,
55,Dominguez Hills,1,FTF + FTT,06991,Finance & Insurance,,,,,,
55,Dominguez Hills,1,FTF + FTT,06991,Real Estate & Rental & Leasing,,,,,,
55,Dominguez Hills,1,FTF + FTT,06991,"Professional, Scientific, & Technical Skills",22,"$42,878","$40,499",8,"$71,827","$66,272"
55,Dominguez Hills,1,FTF + FTT,06991,Admin & Support & Waste Mgmt & Remediation,,,,,,
55,Dominguez Hills,1,FTF + FTT,06991,Educational Services,16,"$38,259","$35,998",,,
55,Dominguez Hills,1,FTF + FTT,06991,Health Care & Social Assistance,7,"$32,908","$31,250",,,
55,Dominguez Hills,1,FTF + FTT,06991,"Arts, Entertainment, & Recreation",7,"$46,224","$43,977",,,
55,Dominguez Hills,1,FTF + FTT,06991,Accommodation & Food Services,7,"$28,157","$27,618",,,
55,Dominguez Hills,1,FTF + FTT,06991,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,06991,Non-Classified,,,,,,
55,Dominguez Hills,1,FTF + FTT,06991,Government,8,"$33,456","$31,586",,,
55,Dominguez Hills,1,FTF + FTT,06991,No Wages,237,,,345,,
55,Dominguez Hills,1,FTF + FTT,06991,Wages - No NAICS Code,12,"$16,898","$25,941",5,"$4,098","$22,174"
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,Utilities,,,,,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,Construction,,,,,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,Manufacturing,21,"$81,648","$84,932",15,"$111,758","$104,187"
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,Wholesale Trade,8,"$45,453","$50,683",6,"$67,950","$64,220"
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,Retail Trade,8,"$47,678","$54,117",,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,Transportation & Warehousing,,,,,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,Information,5,"$75,981","$77,053",,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,Finance & Insurance,,,,,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,Real Estate & Rental & Leasing,,,,,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,"Professional, Scientific, & Technical Skills",12,"$55,229","$63,912",11,"$72,984","$79,519"
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,Management of Companies & Enterprises,,,,,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,Admin & Support & Waste Mgmt & Remediation,8,"$41,450","$47,117",,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,Educational Services,7,"$55,279","$51,255",5,"$59,639","$57,784"
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,Health Care & Social Assistance,5,"$80,087","$78,890",,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,Accommodation & Food Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,Government,5,"$82,744","$88,525",,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,No Wages,224,,,258,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,Wages - No NAICS Code,6,"$17,089","$29,362",,,
55,Dominguez Hills,1,FTF + FTT,08231 + 08232,Manufacturing,,,,,,
55,Dominguez Hills,1,FTF + FTT,08231 + 08232,Educational Services,15,"$26,285","$34,406",,,
55,Dominguez Hills,1,FTF + FTT,08231 + 08232,Health Care & Social Assistance,22,"$31,955","$32,949",,,
55,Dominguez Hills,1,FTF + FTT,08231 + 08232,"Arts, Entertainment, & Recreation",,,,,,
55,Dominguez Hills,1,FTF + FTT,08231 + 08232,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,08231 + 08232,Government,,,,,,
55,Dominguez Hills,1,FTF + FTT,08231 + 08232,No Wages,301,,,345,,
55,Dominguez Hills,1,FTF + FTT,08231 + 08232,Wages - No NAICS Code,,,,,,
55,Dominguez Hills,1,FTF + FTT,08351,Construction,,,,,,
55,Dominguez Hills,1,FTF + FTT,08351,Manufacturing,7,"$43,072","$48,373",,,
55,Dominguez Hills,1,FTF + FTT,08351,Wholesale Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,08351,Retail Trade,13,"$28,617","$38,584",5,"$45,650","$58,848"
55,Dominguez Hills,1,FTF + FTT,08351,Transportation & Warehousing,12,"$42,709","$46,657",,,
55,Dominguez Hills,1,FTF + FTT,08351,Information,,,,,,
55,Dominguez Hills,1,FTF + FTT,08351,Finance & Insurance,7,"$51,480","$59,060",,,
55,Dominguez Hills,1,FTF + FTT,08351,Real Estate & Rental & Leasing,5,"$15,987","$12,340",,,
55,Dominguez Hills,1,FTF + FTT,08351,"Professional, Scientific, & Technical Skills",5,"$50,058","$51,181",,,
55,Dominguez Hills,1,FTF + FTT,08351,Admin & Support & Waste Mgmt & Remediation,,,,,,
55,Dominguez Hills,1,FTF + FTT,08351,Educational Services,108,"$55,345","$49,474",54,"$70,878","$63,782"
55,Dominguez Hills,1,FTF + FTT,08351,Health Care & Social Assistance,30,"$30,403","$34,779",14,"$37,361","$42,465"
55,Dominguez Hills,1,FTF + FTT,08351,"Arts, Entertainment, & Recreation",9,"$28,805","$31,680",,,
55,Dominguez Hills,1,FTF + FTT,08351,Accommodation & Food Services,13,"$22,190","$22,494",,,
55,Dominguez Hills,1,FTF + FTT,08351,Other Services,6,"$38,469","$45,381",,,
55,Dominguez Hills,1,FTF + FTT,08351,Government,24,"$53,052","$59,301",13,"$76,731","$67,269"
55,Dominguez Hills,1,FTF + FTT,08351,No Wages,406,,,540,,
55,Dominguez Hills,1,FTF + FTT,08351,Wages - No NAICS Code,8,"$9,794","$24,472",7,"$12,762","$12,759"
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,Manufacturing,7,"$49,378","$46,905",,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,Wholesale Trade,9,"$51,343","$45,837",,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,Retail Trade,13,"$37,791","$38,921",,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,Transportation & Warehousing,5,"$36,554","$35,830",,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,Information,5,"$35,316","$33,278",,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,Finance & Insurance,7,"$40,856","$43,680",,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,Real Estate & Rental & Leasing,5,"$42,615","$50,541",,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,"Professional, Scientific, & Technical Skills",12,"$43,131","$36,828",7,"$39,625","$61,707"
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,Admin & Support & Waste Mgmt & Remediation,7,"$29,440","$25,774",,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,Educational Services,23,"$35,825","$37,931",14,"$40,009","$43,449"
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,Health Care & Social Assistance,,,,5,"$25,146","$27,191"
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,"Arts, Entertainment, & Recreation",5,"$32,476","$34,764",,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,Accommodation & Food Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,Other Services,,,,,,
