Campus,Location,Student Path,Entry Stat,HEGIS at Exit,Major,Industry,# of Students Found 5 years after exit,Median Annual Earnings 5 years after exit,Average Annual Earnings 5 years after exit,# of Students Found 10 years after exit,Median Annual Earnings 10 years after exit,Average Annual Earnings 10 years after exit
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Utilities,5,"$110,956","$98,022",,,
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Construction,,,,,,
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Manufacturing,11,"$42,803","$46,834",7,"$41,737","$49,034"
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Wholesale Trade,12,"$62,199","$67,130",5,"$66,726","$91,383"
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Retail Trade,19,"$31,648","$28,746",7,"$32,727","$28,813"
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Transportation & Warehousing,,,,,,
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Information,7,"$37,079","$40,292",,,
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Finance & Insurance,22,"$53,114","$52,364",13,"$51,113","$61,922"
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Real Estate & Rental & Leasing,5,"$26,758","$28,228",,,
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,"Professional, Scientific, & Technical Skills",25,"$46,853","$48,806",13,"$43,467","$62,759"
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Management of Companies & Enterprises,,,,,,
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Admin & Support & Waste Mgmt & Remediation,16,"$33,662","$37,107",10,"$24,708","$23,041"
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Educational Services,199,"$52,878","$47,187",122,"$66,462","$59,715"
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Health Care & Social Assistance,67,"$38,512","$41,929",44,"$39,165","$40,072"
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,"Arts, Entertainment, & Recreation",,,,,,
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Accommodation & Food Services,10,"$26,279","$29,292",6,"$36,207","$68,103"
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Other Services,7,"$27,385","$36,306",,,
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Government,50,"$54,325","$57,943",44,"$65,788","$66,928"
