	average_annual_earnings_10_years_after_exit	average_annual_earnings_5_years_after_exit	campus	entry_status	hegis_at_exit	industry	location	major	median_annual_earnings_10_years_after_exit	median_annual_earnings_5_years_after_exit	naics	number_of_students_found_10_years_after_exit	number_of_students_found_5_years_after_exit	student_path
0			0	FTF + FTT	0	Agriculture, Forestry, Fishing, & Hunting		Undeclared/Unknown			1			1
1		98022.0	0	FTF + FTT	0	Utilities		Undeclared/Unknown		110956.0	2		5	1
2		58140.0	0	FTF + FTT	0	Construction		Undeclared/Unknown		53120.0	3		5	1
3	49034.0	44355.0	0	FTF + FTT	0	Manufacturing		Undeclared/Unknown	41737.0	40258.0	4	7	12	1
4	79964.0	63921.0	0	FTF + FTT	0	Wholesale Trade		Undeclared/Unknown	53353.0	54418.0	5	6	13	1
5	26589.0	28746.0	0	FTF + FTT	0	Retail Trade		Undeclared/Unknown	30027.0	31648.0	6	8	19	1
6		36393.0	0	FTF + FTT	0	Transportation & Warehousing		Undeclared/Unknown		44950.0	7		5	1
7		45404.0	0	FTF + FTT	0	Information		Undeclared/Unknown		37079.0	8		9	1
8	58501.0	52412.0	0	FTF + FTT	0	Finance & Insurance		Undeclared/Unknown	50942.0	53044.0	9	14	25	1
9		28228.0	0	FTF + FTT	0	Real Estate & Rental & Leasing		Undeclared/Unknown		26758.0	10		5	1
10	61384.0	51604.0	0	FTF + FTT	0	Professional, Scientific, & Technical Skills		Undeclared/Unknown	49382.0	49441.0	11	17	30	1
11			0	FTF + FTT	0	Management of Companies & Enterprises		Undeclared/Unknown			12			1
12	23041.0	34017.0	0	FTF + FTT	0	Admin & Support & Waste Mgmt & Remediation		Undeclared/Unknown	24708.0	32381.0	13	10	20	1
13	59246.0	46764.0	0	FTF + FTT	0	Educational Services		Undeclared/Unknown	66244.0	53165.0	14	140	225	1
14	41767.0	41764.0	0	FTF + FTT	0	Health Care & Social Assistance		Undeclared/Unknown	39453.0	37475.0	15	49	77	1
15			0	FTF + FTT	0	Arts, Entertainment, & Recreation		Undeclared/Unknown			16			1
16	64061.0	29042.0	0	FTF + FTT	0	Accommodation & Food Services		Undeclared/Unknown	38053.0	26548.0	17	7	11	1
17		36306.0	0	FTF + FTT	0	Other Services		Undeclared/Unknown		27385.0	18		7	1
18	66743.0	58676.0	0	FTF + FTT	0	Government		Undeclared/Unknown	65788.0	55129.0	19	46	53	1
19			0	FTF + FTT	0	No Wages		Undeclared/Unknown			20	427	218	1
20	34013.0	22028.0	0	FTF + FTT	0	Wages - No NAICS Code		Undeclared/Unknown	10356.0	7228.0	21	22	33	1
21			0	FTF + FTT	12032	Agriculture, Forestry, Fishing, & Hunting		Nursing			1			1
22			0	FTF + FTT	12032	Construction		Nursing			3			1
23		100048.0	0	FTF + FTT	12032	Manufacturing		Nursing		89817.0	4		5	1
24			0	FTF + FTT	12032	Wholesale Trade		Nursing			5			1
25	24201.0	40639.0	0	FTF + FTT	12032	Retail Trade		Nursing	18083.0	35257.0	6	5	6	1
26			0	FTF + FTT	12032	Transportation & Warehousing		Nursing			7			1
27			0	FTF + FTT	12032	Information		Nursing			8			1
28	82779.0	106589.0	0	FTF + FTT	12032	Finance & Insurance		Nursing	88468.0	90930.0	9	14	21	1
29		57765.0	0	FTF + FTT	12032	Professional, Scientific, & Technical Skills		Nursing		64223.0	11		11	1
30			0	FTF + FTT	12032	Management of Companies & Enterprises		Nursing			12			1
31	46577.0	49012.0	0	FTF + FTT	12032	Admin & Support & Waste Mgmt & Remediation		Nursing	31875.0	47959.0	13	12	54	1
32	96573.0	89499.0	0	FTF + FTT	12032	Educational Services		Nursing	96969.0	91265.0	14	113	222	1
33	108690.0	99350.0	0	FTF + FTT	12032	Health Care & Social Assistance		Nursing	107513.0	97563.0	15	632	1,826	1
34			0	FTF + FTT	12032	Arts, Entertainment, & Recreation		Nursing			16			1
35			0	FTF + FTT	12032	Accommodation & Food Services		Nursing			17			1
36			0	FTF + FTT	12032	Other Services		Nursing			18			1
37			0	FTF + FTT	12032	Non-Classified		Nursing			22			1
38	108183.0	102433.0	0	FTF + FTT	12032	Government		Nursing	108020.0	98117.0	19	118	248	1
39			0	FTF + FTT	12032	No Wages		Nursing			20	4,547	3,016	1
40	60279.0	68632.0	0	FTF + FTT	12032	Wages - No NAICS Code		Nursing	17011.0	26091.0	21	18	42	1
41	55978.0	59535.0	0	FTF + FTT	1091	Agriculture, Forestry, Fishing, & Hunting		Agriculture/Agricultural Science & Horticulture-1091	60951.0	61710.0	1	7	11	1
42			0	FTF + FTT	1091	Utilities		Agriculture/Agricultural Science & Horticulture-1091			2			1
43			0	FTF + FTT	1091	Construction		Agriculture/Agricultural Science & Horticulture-1091			3			1
44			0	FTF + FTT	1091	Manufacturing		Agriculture/Agricultural Science & Horticulture-1091			4			1
45		88832.0	0	FTF + FTT	1091	Wholesale Trade		Agriculture/Agricultural Science & Horticulture-1091		81594.0	5		6	1
46			0	FTF + FTT	1091	Retail Trade		Agriculture/Agricultural Science & Horticulture-1091			6			1
47			0	FTF + FTT	1091	Transportation & Warehousing		Agriculture/Agricultural Science & Horticulture-1091			7			1
48			0	FTF + FTT	1091	Information		Agriculture/Agricultural Science & Horticulture-1091			8			1
49			0	FTF + FTT	1091	Finance & Insurance		Agriculture/Agricultural Science & Horticulture-1091			9			1
50			0	FTF + FTT	1091	Real Estate & Rental & Leasing		Agriculture/Agricultural Science & Horticulture-1091			10			1
51	58482.0	54815.0	0	FTF + FTT	1091	Professional, Scientific, & Technical Skills		Agriculture/Agricultural Science & Horticulture-1091	52321.0	52168.0	11	5	7	1
52	67225.0	60536.0	0	FTF + FTT	1091	Admin & Support & Waste Mgmt & Remediation		Agriculture/Agricultural Science & Horticulture-1091	76673.0	58693.0	13	7	18	1
53	71480.0	65147.0	0	FTF + FTT	1091	Educational Services		Agriculture/Agricultural Science & Horticulture-1091	72497.0	66017.0	14	5	12	1
54			0	FTF + FTT	1091	Health Care & Social Assistance		Agriculture/Agricultural Science & Horticulture-1091			15			1
55	100006.0	72309.0	0	FTF + FTT	1091	Arts, Entertainment, & Recreation		Agriculture/Agricultural Science & Horticulture-1091	88443.0	71407.0	16	10	19	1
56			0	FTF + FTT	1091	Accommodation & Food Services		Agriculture/Agricultural Science & Horticulture-1091			17			1
57			0	FTF + FTT	1091	Other Services		Agriculture/Agricultural Science & Horticulture-1091			18			1
58	73905.0	57177.0	0	FTF + FTT	1091	Government		Agriculture/Agricultural Science & Horticulture-1091	68920.0	55293.0	19	12	21	1
59			0	FTF + FTT	1091	No Wages		Agriculture/Agricultural Science & Horticulture-1091			20	160	101	1
60	37066.0	38012.0	0	FTF + FTT	1091	Wages - No NAICS Code		Agriculture/Agricultural Science & Horticulture-1091	36987.0	36922.0	21	6	11	1
61			0	FTF + FTT	1043	Agriculture, Forestry, Fishing, & Hunting		Agriculture/Agricultural Science & Horticulture-1043			1			1
62			0	FTF + FTT	1043	Utilities		Agriculture/Agricultural Science & Horticulture-1043			2			1
63			0	FTF + FTT	1043	Construction		Agriculture/Agricultural Science & Horticulture-1043			3			1
64		58372.0	0	FTF + FTT	1043	Manufacturing		Agriculture/Agricultural Science & Horticulture-1043		58312.0	4		17	1
65	71225.0	78187.0	0	FTF + FTT	1043	Wholesale Trade		Agriculture/Agricultural Science & Horticulture-1043	88153.0	80626.0	5	13	10	1
