	_25th_percentile_earnings	_50th_percentile_earnings	_75th_percentile_earnings	average_earnings	campus	entry_status	hegis_at_exit	location	major	number_of_students_found	potential_number_of_students	potential_number_of_students_for_each_year_out_of_school	student_path	year
1024	$16,706	$30,776	$49,156	$33,963	0	FTF + FTT	0		Undeclared/Unknown	628	777	747	1	2
1025	$27,188	$46,136	$61,610	$45,313	0	FTF + FTT	0		Undeclared/Unknown	559	777	693	1	5
1026	$33,400	$54,443	$72,251	$54,740	0	FTF + FTT	0		Undeclared/Unknown	350	777	466	1	10
1027	$31,918	$63,614	$80,556	$56,848	0	FTF + FTT	0		Undeclared/Unknown	89	777	133	1	15
1028	$70,873	$85,935	$105,156	$88,107	0	FTF + FTT	12032		Nursing	4,142	5,473	4,466	1	2
1029	$75,015	$95,812	$118,911	$96,538	0	FTF + FTT	12032		Nursing	2,457	5,473	2,731	1	5
1030	$79,562	$103,378	$128,713	$104,200	0	FTF + FTT	12032		Nursing	926	5,473	1,081	1	10
1031	$86,857	$109,994	$131,883	$109,390	0	FTF + FTT	12032		Nursing	255	5,473	324	1	15
1032	$27,869	$41,694	$56,084	$42,696	0	FTF + FTT	1091		Agriculture/Agricultural Science & Horticulture-1091	147	224	186	1	2
1033	$40,559	$57,868	$73,104	$57,924	0	FTF + FTT	1091		Agriculture/Agricultural Science & Horticulture-1091	123	224	167	1	5
1034	$43,464	$62,860	$82,379	$65,079	0	FTF + FTT	1091		Agriculture/Agricultural Science & Horticulture-1091	64	224	95	1	10
1035	$30,985	$75,780	$97,806	$80,791	0	FTF + FTT	1091		Agriculture/Agricultural Science & Horticulture-1091	21	224	33	1	15
1036	$17,235	$28,758	$39,417	$29,592	0	FTF + FTT	1043		Agriculture/Agricultural Science & Horticulture-1043	625	958	779	1	2
1037	$24,677	$37,079	$47,810	$38,729	0	FTF + FTT	1043		Agriculture/Agricultural Science & Horticulture-1043	375	958	513	1	5
1038	$27,740	$47,215	$68,331	$51,143	0	FTF + FTT	1043		Agriculture/Agricultural Science & Horticulture-1043	145	958	222	1	10
1039	$22,770	$51,529	$82,910	$65,431	0	FTF + FTT	1043		Agriculture/Agricultural Science & Horticulture-1043	38	958	57	1	15
1040	$21,237	$36,224	$49,235	$36,424	0	FTF + FTT	1121		Agricultural Business	187	270	212	1	2
1041	$27,487	$49,437	$65,281	$48,921	0	FTF + FTT	1121		Agricultural Business	107	270	122	1	5
1042	$42,898	$81,799	$106,230	$76,227	0	FTF + FTT	1121		Agricultural Business	38	270	52	1	10
1043	$50,976	$80,163	$125,084	$100,780	0	FTF + FTT	1121		Agricultural Business	9	270	16	1	15
1044	$27,681	$40,605	$48,335	$40,810	0	FTF + FTT	1131		Food Science and Technology	70	147	80	1	2
1045	$34,899	$54,045	$62,900	$50,030	0	FTF + FTT	1131		Food Science and Technology	32	147	37	1	5
1046					0	FTF + FTT	1131		Food Science and Technology	2	147	3	1	10
1047					0	FTF + FTT	1131		Food Science and Technology	1	147	1	1	15
1048	$18,595	$40,995	$55,509	$40,146	0	FTF + FTT	1993		Agricultural Biology and Plant & Irrigation Science	117	208	148	1	2
1049	$45,668	$59,912	$84,212	$66,594	0	FTF + FTT	1993		Agricultural Biology and Plant & Irrigation Science	54	208	78	1	5
1050	$57,477	$83,454	$98,182	$80,969	0	FTF + FTT	1993		Agricultural Biology and Plant & Irrigation Science	17	208	29	1	10
1051	$53,095	$102,156	$119,135	$95,880	0	FTF + FTT	1993		Agricultural Biology and Plant & Irrigation Science	7	208	9	1	15
1052	$38,558	$49,898	$59,846	$48,905	0	FTF + FTT	2021		Architecture	547	760	647	1	2
1053	$50,593	$61,650	$71,200	$59,725	0	FTF + FTT	2021		Architecture	351	760	451	1	5
1054	$53,492	$67,208	$84,619	$68,251	0	FTF + FTT	2021		Architecture	161	760	217	1	10
1055	$27,671	$74,882	$120,700	$84,336	0	FTF + FTT	2021		Architecture	12	760	19	1	15
1056	$32,344	$43,109	$49,796	$43,236	0	FTF + FTT	2031		Interior Design	56	124	72	1	2
1057	$28,313	$53,563	$73,188	$56,215	0	FTF + FTT	2031		Interior Design	10	124	13	1	5
1058					0	FTF + FTT	2031		Interior Design		124		1	10
1059					0	FTF + FTT	2031		Interior Design		124		1	15
1060	$24,514	$39,417	$51,922	$38,174	0	FTF + FTT	2041		Landscape Architecture	445	606	544	1	2
1061	$32,507	$51,110	$64,135	$48,455	0	FTF + FTT	2041		Landscape Architecture	287	606	391	1	5
1062	$44,074	$63,223	$72,043	$60,667	0	FTF + FTT	2041		Landscape Architecture	96	606	144	1	10
1063	$40,175	$62,969	$122,613	$66,847	0	FTF + FTT	2041		Landscape Architecture	7	606	22	1	15
