	average_annual_earnings_10_years_after_exit	average_annual_earnings_5_years_after_exit	campus	entry_status	hegis_at_exit	industry	location	major	median_annual_earnings_10_years_after_exit	median_annual_earnings_5_years_after_exit	naics	number_of_students_found_10_years_after_exit	number_of_students_found_5_years_after_exit	student_path
6601			70	FTF + FTT	12032	Professional, Scientific, & Technical Skills	Northridge	Nursing-12032			11			1
6602		105963.0	70	FTF + FTT	12032	Educational Services	Northridge	Nursing-12032		102907.0	14		9	1
6603		111853.0	70	FTF + FTT	12032	Health Care & Social Assistance	Northridge	Nursing-12032		117778.0	15		32	1
6604		111553.0	70	FTF + FTT	12032	Government	Northridge	Nursing-12032		109738.0	19		10	1
6605			70	FTF + FTT	12032	No Wages	Northridge	Nursing-12032			20	161	107	1
6606			70	FTF + FTT	12032	Wages - No NAICS Code	Northridge	Nursing-12032			21			1
6607			70	FTF + FTT	3085	Retail Trade	Northridge	Latin/Central American Studies			6			1
6608			70	FTF + FTT	3085	Real Estate & Rental & Leasing	Northridge	Latin/Central American Studies			10			1
6609			70	FTF + FTT	3085	Educational Services	Northridge	Latin/Central American Studies			14			1
6610			70	FTF + FTT	3085	Health Care & Social Assistance	Northridge	Latin/Central American Studies			15			1
6611			70	FTF + FTT	3085	Other Services	Northridge	Latin/Central American Studies			18			1
6612			70	FTF + FTT	3085	No Wages	Northridge	Latin/Central American Studies			20	26	19	1
6613			70	FTF + FTT	3085	Wages - No NAICS Code	Northridge	Latin/Central American Studies			21			1
6614			70	FTF + FTT	4011	Agriculture, Forestry, Fishing, & Hunting	Northridge	Biology			1			1
6615			70	FTF + FTT	4011	Mining	Northridge	Biology			23			1
6616			70	FTF + FTT	4011	Utilities	Northridge	Biology			2			1
6617		38392.0	70	FTF + FTT	4011	Construction	Northridge	Biology		26802.0	3		6	1
6618	87250.0	62960.0	70	FTF + FTT	4011	Manufacturing	Northridge	Biology	85807.0	58025.0	4	40	76	1
6619	81093.0	68762.0	70	FTF + FTT	4011	Wholesale Trade	Northridge	Biology	66273.0	61011.0	5	8	21	1
6620	79284.0	37308.0	70	FTF + FTT	4011	Retail Trade	Northridge	Biology	59504.0	27313.0	6	24	81	1
6621		43757.0	70	FTF + FTT	4011	Transportation & Warehousing	Northridge	Biology		35868.0	7		5	1
6622	29610.0	51936.0	70	FTF + FTT	4011	Information	Northridge	Biology	2951.0	38605.0	8	5	8	1
6623	67507.0	54717.0	70	FTF + FTT	4011	Finance & Insurance	Northridge	Biology	71312.0	53994.0	9	7	24	1
6624			70	FTF + FTT	4011	Real Estate & Rental & Leasing	Northridge	Biology			10			1
6625	58367.0	45307.0	70	FTF + FTT	4011	Professional, Scientific, & Technical Skills	Northridge	Biology	55313.0	43109.0	11	17	40	1
6626			70	FTF + FTT	4011	Management of Companies & Enterprises	Northridge	Biology			12			1
6627	66439.0	51377.0	70	FTF + FTT	4011	Admin & Support & Waste Mgmt & Remediation	Northridge	Biology	61988.0	42249.0	13	9	25	1
6628	57187.0	48212.0	70	FTF + FTT	4011	Educational Services	Northridge	Biology	64809.0	51722.0	14	41	65	1
6629	80753.0	46095.0	70	FTF + FTT	4011	Health Care & Social Assistance	Northridge	Biology	56486.0	41804.0	15	81	152	1
6630	51404.0		70	FTF + FTT	4011	Arts, Entertainment, & Recreation	Northridge	Biology	33093.0		16	5		1
6631		20624.0	70	FTF + FTT	4011	Accommodation & Food Services	Northridge	Biology		16758.0	17		12	1
6632	53707.0	34640.0	70	FTF + FTT	4011	Other Services	Northridge	Biology	56248.0	39181.0	18	5	11	1
6633		47664.0	70	FTF + FTT	4011	Non-Classified	Northridge	Biology		44828.0	22		5	1
6634	83486.0	55254.0	70	FTF + FTT	4011	Government	Northridge	Biology	82762.0	57879.0	19	26	28	1
6635			70	FTF + FTT	4011	No Wages	Northridge	Biology			20	1,180	867	1
6636	41652.0	11390.0	70	FTF + FTT	4011	Wages - No NAICS Code	Northridge	Biology	9674.0	5438.0	21	13	39	1
6637			70	FTF + FTT	4111	Utilities	Northridge	Microbiology			2			1
6638	87404.0	72007.0	70	FTF + FTT	4111	Manufacturing	Northridge	Microbiology	85615.0	73925.0	4	14	20	1
6639			70	FTF + FTT	4111	Retail Trade	Northridge	Microbiology			6			1
6640			70	FTF + FTT	4111	Transportation & Warehousing	Northridge	Microbiology			7			1
6641			70	FTF + FTT	4111	Information	Northridge	Microbiology			8			1
6642			70	FTF + FTT	4111	Finance & Insurance	Northridge	Microbiology			9			1
6643			70	FTF + FTT	4111	Real Estate & Rental & Leasing	Northridge	Microbiology			10			1
6644		53031.0	70	FTF + FTT	4111	Professional, Scientific, & Technical Skills	Northridge	Microbiology		57443.0	11		6	1
6645			70	FTF + FTT	4111	Management of Companies & Enterprises	Northridge	Microbiology			12			1
6646			70	FTF + FTT	4111	Admin & Support & Waste Mgmt & Remediation	Northridge	Microbiology			13			1
6647		50047.0	70	FTF + FTT	4111	Health Care & Social Assistance	Northridge	Microbiology		47154.0	15		8	1
6648			70	FTF + FTT	4111	Arts, Entertainment, & Recreation	Northridge	Microbiology			16			1
6649			70	FTF + FTT	4111	Other Services	Northridge	Microbiology			18			1
6650	89011.0	63351.0	70	FTF + FTT	4111	Government	Northridge	Microbiology	83576.0	66158.0	19	6	6	1
6651			70	FTF + FTT	4111	No Wages	Northridge	Microbiology			20	99	77	1
6652			70	FTF + FTT	4111	Wages - No NAICS Code	Northridge	Microbiology			21			1
6653			70	FTF + FTT	4141	Construction	Northridge	Biochemistry			3			1
6654	74308.0	60832.0	70	FTF + FTT	4141	Manufacturing	Northridge	Biochemistry	65981.0	58125.0	4	9	16	1
6655			70	FTF + FTT	4141	Wholesale Trade	Northridge	Biochemistry			5			1
6656			70	FTF + FTT	4141	Retail Trade	Northridge	Biochemistry			6			1
6657			70	FTF + FTT	4141	Finance & Insurance	Northridge	Biochemistry			9			1
6658		44809.0	70	FTF + FTT	4141	Professional, Scientific, & Technical Skills	Northridge	Biochemistry		45594.0	11		6	1
6659		42281.0	70	FTF + FTT	4141	Admin & Support & Waste Mgmt & Remediation	Northridge	Biochemistry		30083.0	13		5	1
6660		33659.0	70	FTF + FTT	4141	Educational Services	Northridge	Biochemistry		43371.0	14		9	1
6661		48439.0	70	FTF + FTT	4141	Health Care & Social Assistance	Northridge	Biochemistry		46340.0	15		13	1
6662			70	FTF + FTT	4141	Accommodation & Food Services	Northridge	Biochemistry			17			1
6663			70	FTF + FTT	4141	Other Services	Northridge	Biochemistry			18			1
6664			70	FTF + FTT	4141	Government	Northridge	Biochemistry			19			1
6665			70	FTF + FTT	4141	No Wages	Northridge	Biochemistry			20	131	88	1
6666			70	FTF + FTT	4141	Wages - No NAICS Code	Northridge	Biochemistry			21			1
6667			70	FTF + FTT	4152	Agriculture, Forestry, Fishing, & Hunting	Northridge	Biomedical Physics			1			1
6668			70	FTF + FTT	4152	Manufacturing	Northridge	Biomedical Physics			4			1
6669			70	FTF + FTT	4152	Transportation & Warehousing	Northridge	Biomedical Physics			7			1
6670			70	FTF + FTT	4152	Finance & Insurance	Northridge	Biomedical Physics			9			1
6671			70	FTF + FTT	4152	Educational Services	Northridge	Biomedical Physics			14			1
6672			70	FTF + FTT	4152	Health Care & Social Assistance	Northridge	Biomedical Physics			15			1
6673			70	FTF + FTT	4152	Government	Northridge	Biomedical Physics			19			1
6674			70	FTF + FTT	4152	No Wages	Northridge	Biomedical Physics			20	6		1
6675			70	FTF + FTT	4152	Wages - No NAICS Code	Northridge	Biomedical Physics			21			1
6676			70	FTF + FTT	4171	Construction	Northridge	Cell and Molecular Biology			3			1
6677	101941.0	60855.0	70	FTF + FTT	4171	Manufacturing	Northridge	Cell and Molecular Biology	102392.0	60365.0	4	5	24	1
6678			70	FTF + FTT	4171	Wholesale Trade	Northridge	Cell and Molecular Biology			5			1
6679		24372.0	70	FTF + FTT	4171	Retail Trade	Northridge	Cell and Molecular Biology		19106.0	6		5	1
6680			70	FTF + FTT	4171	Information	Northridge	Cell and Molecular Biology			8			1
6681			70	FTF + FTT	4171	Finance & Insurance	Northridge	Cell and Molecular Biology			9			1
6682		53519.0	70	FTF + FTT	4171	Professional, Scientific, & Technical Skills	Northridge	Cell and Molecular Biology		55567.0	11		7	1
6683			70	FTF + FTT	4171	Management of Companies & Enterprises	Northridge	Cell and Molecular Biology			12			1
6684			70	FTF + FTT	4171	Admin & Support & Waste Mgmt & Remediation	Northridge	Cell and Molecular Biology			13			1
6685	74852.0	40553.0	70	FTF + FTT	4171	Educational Services	Northridge	Cell and Molecular Biology	63056.0	50192.0	14	5	8	1
6686	97946.0	48446.0	70	FTF + FTT	4171	Health Care & Social Assistance	Northridge	Cell and Molecular Biology	97484.0	48565.0	15	11	20	1
6687			70	FTF + FTT	4171	Arts, Entertainment, & Recreation	Northridge	Cell and Molecular Biology			16			1
6688			70	FTF + FTT	4171	Accommodation & Food Services	Northridge	Cell and Molecular Biology			17			1
6689			70	FTF + FTT	4171	Other Services	Northridge	Cell and Molecular Biology			18			1
6690	66935.0	59240.0	70	FTF + FTT	4171	Government	Northridge	Cell and Molecular Biology	62931.0	52536.0	19	9	6	1
6691			70	FTF + FTT	4171	No Wages	Northridge	Cell and Molecular Biology			20	263	216	1
6692		14681.0	70	FTF + FTT	4171	Wages - No NAICS Code	Northridge	Cell and Molecular Biology		4343.0	21		6	1
6693			70	FTF + FTT	4201	Manufacturing	Northridge	Environmental Biology & Ecology			4			1
6694			70	FTF + FTT	4201	Retail Trade	Northridge	Environmental Biology & Ecology			6			1
6695			70	FTF + FTT	4201	Finance & Insurance	Northridge	Environmental Biology & Ecology			9			1
6696		43226.0	70	FTF + FTT	4201	Professional, Scientific, & Technical Skills	Northridge	Environmental Biology & Ecology		38316.0	11		13	1
6697		46333.0	70	FTF + FTT	4201	Educational Services	Northridge	Environmental Biology & Ecology		51740.0	14		7	1
6698			70	FTF + FTT	4201	Health Care & Social Assistance	Northridge	Environmental Biology & Ecology			15			1
6699			70	FTF + FTT	4201	Arts, Entertainment, & Recreation	Northridge	Environmental Biology & Ecology			16			1
6700			70	FTF + FTT	4201	Accommodation & Food Services	Northridge	Environmental Biology & Ecology			17			1
