	_25th_percentile_earnings	_50th_percentile_earnings	_75th_percentile_earnings	average_earnings	campus	entry_status	hegis_at_exit	location	major	number_of_students_found	potential_number_of_students	potential_number_of_students_for_each_year_out_of_school	student_path	year
0	$77,372	$92,514	$105,457	$91,860	70	FTF + FTT	12032	Northridge	Nursing-12032	144	161	156	1	1
1	$76,932	$95,454	$115,529	$94,832	70	FTF + FTT	12032	Northridge	Nursing-12032	111	161	125	1	2
2	$80,602	$97,760	$117,728	$95,946	70	FTF + FTT	12032	Northridge	Nursing-12032	92	161	101	1	3
3	$80,417	$99,970	$124,608	$100,275	70	FTF + FTT	12032	Northridge	Nursing-12032	72	161	76	1	4
4	$91,319	$106,260	$132,826	$107,679	70	FTF + FTT	12032	Northridge	Nursing-12032	54	161	57	1	5
5	$92,674	$107,390	$138,558	$113,077	70	FTF + FTT	12032	Northridge	Nursing-12032	36	161	38	1	6
6	$73,234	$100,586	$123,686	$95,530	70	FTF + FTT	12032	Northridge	Nursing-12032	20	161	21	1	7
7	$76,458	$98,758	$128,965	$100,207	70	FTF + FTT	12032	Northridge	Nursing-12032	8	161	10	1	8
8					70	FTF + FTT	12032	Northridge	Nursing-12032	1	161	1	1	9
9					70	FTF + FTT	12032	Northridge	Nursing-12032		161		1	10
10					70	FTF + FTT	12032	Northridge	Nursing-12032		161		1	11
11					70	FTF + FTT	12032	Northridge	Nursing-12032		161		1	12
12					70	FTF + FTT	12032	Northridge	Nursing-12032		161		1	13
13					70	FTF + FTT	12032	Northridge	Nursing-12032		161		1	14
14					70	FTF + FTT	12032	Northridge	Nursing-12032		161		1	15
15	$7,270	$13,866	$23,924	$15,557	70	FTF + FTT	3085	Northridge	Latin/Central American Studies	22	26	25	1	1
16	$14,512	$17,887	$24,881	$20,219	70	FTF + FTT	3085	Northridge	Latin/Central American Studies	18	26	20	1	2
17	$19,355	$25,575	$35,280	$25,822	70	FTF + FTT	3085	Northridge	Latin/Central American Studies	17	26	17	1	3
18	$10,788	$33,643	$38,432	$26,380	70	FTF + FTT	3085	Northridge	Latin/Central American Studies	11	26	11	1	4
19	$16,870	$35,385	$52,158	$33,404	70	FTF + FTT	3085	Northridge	Latin/Central American Studies	7	26	8	1	5
20	$5,090	$35,001	$44,061	$37,756	70	FTF + FTT	3085	Northridge	Latin/Central American Studies	6	26	7	1	6
21					70	FTF + FTT	3085	Northridge	Latin/Central American Studies	2	26	2	1	7
22					70	FTF + FTT	3085	Northridge	Latin/Central American Studies		26	1	1	8
23					70	FTF + FTT	3085	Northridge	Latin/Central American Studies		26		1	9
24					70	FTF + FTT	3085	Northridge	Latin/Central American Studies		26		1	10
25					70	FTF + FTT	3085	Northridge	Latin/Central American Studies		26		1	11
26					70	FTF + FTT	3085	Northridge	Latin/Central American Studies		26		1	12
27					70	FTF + FTT	3085	Northridge	Latin/Central American Studies		26		1	13
28					70	FTF + FTT	3085	Northridge	Latin/Central American Studies		26		1	14
29					70	FTF + FTT	3085	Northridge	Latin/Central American Studies		26		1	15
30	$9,330	$19,498	$34,186	$23,962	70	FTF + FTT	4011	Northridge	Biology	1,040	1,475	1,391	1	1
31	$12,167	$26,053	$44,388	$30,312	70	FTF + FTT	4011	Northridge	Biology	921	1,475	1,245	1	2
