guid,entry_status,major,in_school_earning,fin_aid_0,fin_aid_3000,fin_aid_10000,,,,,Fin Aid $0,"Fin Aid $3,000","Fin Aid $10,000"
593555ff-47c0-46ad-857e-4ea6d44c596f,FTT,Accounting,0,12.30007337,14.80764895,22.19062502,,,,,0.1230007337,0.1480764895,0.2219062502
11cab281-686f-4f2b-9a9e-0ec51f1f9fce,FTT,Accounting,4500,16.18577461,19.25035537,28.704565,,,,,0.1618577461,0.1925035537,0.28704565
c6f29138-e656-4921-8289-440e4b84f003,FTT,Accounting,10500,22.82917152,27.09138002,41.44670097,,,,,0.2282917152,0.2709138002,0.4144670097
84575dbf-b28a-41c4-9129-61f18df90b20,FTT,Advertising,0,5.129552459,6.692936779,11.37814906,,,,,0.05129552459,0.06692936779,0.1137814906
e1e2f074-da27-46e5-b86c-11de66c99573,FTT,Advertising,4500,7.549354307,9.473247148,15.98724062,,,,,0.07549354307,0.09473247148,0.1598724062
0f04b486-a519-44e1-980b-a8d263a20427,FTT,Advertising,10500,11.80320491,14.78197043,27.69643201,,,,,0.1180320491,0.1478197043,0.2769643201
a80c85ea-3d6e-46cb-acd8-26509b6125e1,FTT,Aerospace Engineering,0,34.77283869,40.14593348,57.80346205,,,,,0.3477283869,0.4014593348,0.5780346205
522b13ad-f3a7-46ce-83a6-c4b7696ed4ac,FTT,Aerospace Engineering,4500,43.2056688,50.35789401,77.44883936,,,,,0.432056688,0.5035789401,0.7744883936
cc0f90b5-2c72-4410-af94-0fdf57142796,FTT,Aerospace Engineering,10500,59.5143958,72.05830475,151.6373828,,,,,0.595143958,0.7205830475,1.516373828
5869c561-2bba-4290-9689-acc132666cae,FTT,African-American Studies,0,NA,NA,NA,,,,,NA,NA,NA
e097b02d-74ab-4c8f-a605-f441798fa90f,FTT,African-American Studies,4500,NA,NA,NA,,,,,NA,NA,NA
6f95d5e0-4510-4137-b527-d6f70f86c1b8,FTT,African-American Studies,10500,NA,NA,NA,,,,,NA,NA,NA
801f72ed-ac40-4e49-b162-59a8f3a5dceb,FTT,Agricultural Biology and Plant & Irrigation Science,0,9.773708053,12.10149663,19.63201841,,,,,0.09773708053,0.1210149663,0.1963201841
f60c9cd4-c3a1-4837-b755-8b69c79249f9,FTT,Agricultural Biology and Plant & Irrigation Science,4500,13.4207019,16.4849074,27.55255991,,,,,0.134207019,0.164849074,0.2755255991
93308431-6902-48a0-a85f-b01a60dc4189,FTT,Agricultural Biology and Plant & Irrigation Science,10500,20.346606,25.44947531,48.89163419,,,,,0.20346606,0.2544947531,0.4889163419
04124fe8-a1ab-43cd-aaee-760f4be0d985,FTT,Agricultural Business,0,4.041076052,5.345131636,8.987153321,,,,,0.04041076052,0.05345131636,0.08987153321
894211b2-60c0-4f45-9c6a-8cd9a19a1286,FTT,Agricultural Business,4500,6.040898423,7.554701352,12.20617016,,,,,0.06040898423,0.07554701352,0.1220617016
9517544d-8587-4081-8bb3-db073f55444b,FTT,Agricultural Business,10500,9.298075843,11.39482842,19.40449401,,,,,0.09298075843,0.1139482842,0.1940449401
ee5dabf0-6f77-4e1c-a32e-fa278a2a03ad,FTT,Agriculture/Agricultural Science & Horticulture,0,10.30006533,12.73347663,20.15525028,,,,,0.1030006533,0.1273347663,0.2015525028
366da2a9-d753-4668-8805-2fb9e262f638,FTT,Agriculture/Agricultural Science & Horticulture,4500,14.08980306,17.1547914,26.98047449,,,,,0.1408980306,0.171547914,0.2698047449
53bbc06f-6b43-4d99-907d-71159f60fce7,FTT,Agriculture/Agricultural Science & Horticulture,10500,20.81399806,25.26958199,40.91565097,,,,,0.2081399806,0.2526958199,0.4091565097
2ec01eb0-94de-44b9-b1c0-ebe506ce45b2,FTT,American Studies,0,6.74643707,8.684919903,14.83283792,,,,,0.0674643707,0.08684919903,0.1483283792
c01595cb-e7b1-471d-ba0c-42ae8a8936a3,FTT,American Studies,4500,9.773646863,12.28234363,21.07758368,,,,,0.09773646863,0.1228234363,0.2107758368
2904fc7d-17fa-40b7-82f3-ea16e6571e19,FTT,American Studies,10500,15.40783439,19.45202808,35.69435183,,,,,0.1540783439,0.1945202808,0.3569435183
a98ee091-18e4-4850-9496-f11996474574,FTT,Animal Science/Animal Health Science,0,4.927907814,6.676130718,12.55607853,,,,,0.04927907814,0.06676130718,0.1255607853
af7bac7c-c8cb-4947-9e8a-6df0555ef643,FTT,Animal Science/Animal Health Science,4500,7.668619592,10.01749936,19.94005662,,,,,0.07668619592,0.1001749936,0.1994005662
