guid	entry_status	major	in_school_earning	fin_aid_0	fin_aid_3000	fin_aid_10000
8cb49c50-61d4-4c8b-ae69-f4bec32b40db	FTF	Accounting	0	16.65962305	19.54341788	29.25716868
f31c5c8a-c332-4d2f-8ffa-778fa8e08a93	FTF	Accounting	4500	21.19879868	25.10956005	40.85082826
eb68ca3f-48f7-4280-9887-aaeb51d2bffc	FTF	Accounting	10500	30.22420012	37.53984347	81.7440972
51c7b625-5b23-4444-a44a-e849a1ca0a71	FTF	Advertising	0	9.864830665	12.11833592	20.03008071
7f114875-2c7b-46ce-8244-e8f6f7414100	FTF	Advertising	4500	13.42861502	16.58450959	30.15917487
723bb244-8c73-4a98-80b7-839215ab4fe7	FTF	Advertising	10500	20.84774913	27.19614681	72.44765722
d019a8e7-0d9d-4769-b361-fc681e6398c3	FTF	Aerospace Engineering	0	19.9660269	23.22893961	34.59283628
e2f95087-5794-468d-9e99-028ed2d052ca	FTF	Aerospace Engineering	4500	25.11981945	29.65300123	49.61621467
eb9ea54a-d90d-4ec2-97e3-ffc708c80e39	FTF	Aerospace Engineering	10500	35.76906699	45.07882267	107.1580344
ac0171cc-db65-4a6e-81a2-bbee7fa71fd7	FTF	African-American Studies	0			
98d7a75c-2dc4-46e0-8e6d-73b4afd97a52	FTF	African-American Studies	4500			
1c3d1d75-b169-4396-acce-782c2a8ed3da	FTF	African-American Studies	10500			
75943e69-9cfd-47b8-8ca0-c5c4dc7bd7e2	FTF	Agricultural Biology and Plant & Irrigation Science	0	13.73541583	16.77205341	28.37606481
79b83f66-ae26-4929-9973-80ed2105e78c	FTF	Agricultural Biology and Plant & Irrigation Science	4500	18.58117815	23.09392402	50.48204502
47b89571-80e9-4166-a3df-584a96de2f63	FTF	Agricultural Biology and Plant & Irrigation Science	10500	29.7079995	42.03394344	76.79492217
e212796d-3bce-4282-a2cf-d00ec59ec602	FTF	Agricultural Business	0	12.10192496	14.59851515	23.52283788
6415efcc-3df7-4730-9931-c744b1830182	FTF	Agricultural Business	4500	16.05642868	19.59355938	36.01930936
7ce19611-fe7a-4572-96e2-bb12e90bee6c	FTF	Agricultural Business	10500	24.4705886	32.14960843	92.61225086
9c621de0-fbf7-4537-a206-4833be87d11c	FTF	Agriculture/Agricultural Science & Horticulture	0	8.957902155	11.09433739	18.61194412
b8638e59-0b5a-44fe-a430-3e6f37fbe4df	FTF	Agriculture/Agricultural Science & Horticulture	4500	12.33749097	15.33648375	28.0181607
efeeae9c-da6a-4152-957f-7474b11f3c1a	FTF	Agriculture/Agricultural Science & Horticulture	10500	19.38741348	25.32852066	59.78483552
3a944182-fdbb-4873-8d52-329e584bd4b1	FTF	American Studies	0	8.130901896	10.11730759	17.41250401
0757f382-d17b-4e53-8106-5422cab0ac68	FTF	American Studies	4500	11.27936687	14.13394549	29.39301689
33c80a41-ae43-4366-9351-4e5113cbbed6	FTF	American Studies	10500	18.22692079	25.32227316	67.78413278
a7bcb17f-ad7d-4021-b8ee-b5657f14df7d	FTF	Animal Science/Animal Health Science	0	6.782876509	8.573567303	14.91218382
e5a1bcb9-d239-4e26-a123-6fad0b136284	FTF	Animal Science/Animal Health Science	4500	9.608641399	12.11212271	24.02907457
e6abb63c-34c5-46b6-bbb0-8e9255aac2fc	FTF	Animal Science/Animal Health Science	10500	15.59321899	21.18866153	66.32593458
ae23da57-12ad-42bc-9498-61698d4fbdf4	FTF	Anthropology	0	5.629308032	7.204955225	12.55264976
90ea8a9a-c57b-4b73-8ce8-06d229f4d2c8	FTF	Anthropology	4500	8.100780468	10.22711397	20.07720004
6b706609-3f36-46be-97ed-4ea5798d3ffb	FTF	Anthropology	10500	13.11261435	17.70203747	65.31903137
68b22b73-d05e-40d8-af48-14222bddcec9	FTF	Apparel Merchandising and Management	0	9.156067533	11.55550045	21.1684001
d7e1bd43-cbe2-4e2b-b895-cd409024ec1a	FTF	Apparel Merchandising and Management	4500	13.00508365	16.70621244	38.43638627
e7c4fdf2-94b1-4c7b-8a65-77b0efc40f5e	FTF	Apparel Merchandising and Management	10500	22.30428526	32.47300639	116.5696624
84db8a66-ebe9-4c4f-963b-dcfb95ed834e	FTF	Applied Mathematics	0	8.524181915	10.45762535	16.85193774
dc23f771-3af0-4077-acb2-f39986b98fe3	FTF	Applied Mathematics	4500	11.55882485	14.14263546	24.06195997
937a78e0-d44c-4d9b-a7d0-80cba00d86a9	FTF	Applied Mathematics	10500	17.4771855	22.08023749	45.86668457
9500ce21-65e2-4865-9471-ba010d4d978c	FTF	Applied Physics	0	8.950509831	11.04586095	18.50090359
b0d7a1b4-7143-4d4d-8fba-8a98b8ecb146	FTF	Applied Physics	4500	12.26517814	15.21980015	28.79372602
697d0084-2a97-448f-b5d0-639e0e4503f2	FTF	Applied Physics	10500	19.29156014	25.65060387	72.20366028
08aa4568-d59b-493a-a3b2-d2227c0c5481	FTF	Architecture	0	11.9499731	14.41826038	22.8396096
65d71e20-5826-4a7b-b9a1-b9b01fc5c77f	FTF	Architecture	4500	15.84324255	19.23019197	32.8366686
b3038f0a-b1b2-48db-b792-9ba0debf529f	FTF	Architecture	10500	23.68136758	30.01214579	59.984947
3fda5344-93bc-4231-a3f9-5d59169f0b17	FTF	Art	0	6.994742351	8.819296413	15.35253088
d525ac76-7563-49a2-a9fb-e7461351cf0f	FTF	Art	4500	9.877233312	12.4484039	25.2579996
0becba9d-73ed-477c-a90f-ff748ad3a1f2	FTF	Art	10500	16.06497169	22.0624216	71.74652912
0f70d0b3-a0d0-42d6-9058-a253174eeb04	FTF	Art History	0			
8c5f4bed-5205-4ab9-a302-cc46d7c11e1d	FTF	Art History	4500			
817a9118-739f-47bb-a97b-92631ed6d94a	FTF	Art History	10500			
c23aaeb1-5071-4471-bf02-c67ee1935dd7	FTF	Asian/Asian-American Studies	0	6.412277116	7.899652714	12.43407737
74edcb0c-1f85-45d1-9464-705b06900385	FTF	Asian/Asian-American Studies	4500	8.720360901	10.57746039	17.02471443
33c2f827-ef86-44a2-9ea6-547513a3d2a7	FTF	Asian/Asian-American Studies	10500	12.85098077	15.80676184	30.54318074
d2f84479-e838-4fba-b9a5-f89a35f77a03	FTF	Asian/East Asian Studies	0	9.242526056	11.42465681	19.3188293
f27c526f-5af3-40cc-8523-b6267dab25eb	FTF	Asian/East Asian Studies	4500	12.7021252	15.82038734	30.52262388
4f80e04b-db2f-401b-a7a1-363de904546b	FTF	Asian/East Asian Studies	10500	20.16716904	27.06326775	80.42777412
830016e6-33d5-4bc8-93c4-017e81548037	FTF	Athletic Training	0	9.000309821	11.19873928	19.69053112
9c2238c1-1471-4d96-af1f-c030f7dc0284	FTF	Athletic Training	4500	12.50495574	15.78313557	36.63290827
718e492d-36cd-4ed4-b91a-b85dcb547f7a	FTF	Athletic Training	10500	20.68951421	30.12866872	145.0054009
3c142f1f-540b-4437-aecc-e68702c6adf3	FTF	Aviation	0			
ab28783c-a40a-421e-92d0-0ab2367adca3	FTF	Aviation	4500			
9c80b976-ebb2-4e16-a973-9dc2cf082079	FTF	Aviation	10500			
bf2a04ca-f533-4927-b91a-6521906953a2	FTF	Behavioral Science	0	6.657777608	8.205167583	12.90825121
